mm10	mm10 gene type	hg38	hg38 gene type	orthology type
ENSMUSG00000095854.4	other	ENSG00000211803.2	other	one-to-many
ENSMUSG00000026939.12	pc	ENSG00000258091.1	other	many-to-many
ENSMUSG00000096138.5	other	ENSG00000211794.3	other	one-to-many
ENSMUSG00000033355.6	pc	ENSG00000136514.2	pc	many-to-many
ENSMUSG00000029148.15	pc	ENSG00000115216.13	pc	one-to-one
ENSMUSG00000064513.1	ncRNA	ENSG00000206897.1	ncRNA	many-to-many
ENSMUSG00000115600.1	other	ENSG00000254692.1	pc	many-to-many
ENSMUSG00000089334.1	ncRNA	ENSG00000281808.1	ncRNA	many-to-many
ENSMUSG00000108437.1	other	ENSG00000235174.1	other	one-to-many
ENSMUSG00000109173.1	other	ENSG00000122257.18	pc	one-to-many
ENSMUSG00000075145.2	pc	ENSG00000205029.1	pc	one-to-one
ENSMUSG00000025170.13	pc	ENSG00000172476.4	pc	one-to-many
ENSMUSG00000038312.10	pc	ENSG00000088298.12	pc	one-to-one
ENSMUSG00000054051.7	pc	ENSG00000225830.12	pc	one-to-many
ENSMUSG00000096706.2	pc	ENSG00000147059.8	pc	one-to-many
ENSMUSG00000091955.2	pc	ENSG00000278754.1	other	many-to-many
ENSMUSG00000081738.1	other	ENSG00000250862.1	other	many-to-many
ENSMUSG00000046785.8	pc	ENSG00000178567.7	pc	one-to-one
ENSMUSG00000081431.1	other	ENSG00000228929.1	other	one-to-many
ENSMUSG00000022257.4	pc	ENSG00000104341.16	pc	one-to-one
ENSMUSG00000059975.15	pc	ENSG00000269794.1	other	many-to-many
ENSMUSG00000081159.1	other	ENSG00000236552.2	other	one-to-many
ENSMUSG00000067299.11	pc	ENSG00000118231.4	pc	one-to-one
ENSMUSG00000021260.8	pc	ENSG00000182218.9	pc	one-to-one
ENSMUSG00000032215.15	pc	ENSG00000137876.9	pc	one-to-many
ENSMUSG00000024502.9	pc	ENSG00000188385.11	pc	many-to-many
ENSMUSG00000034762.9	pc	ENSG00000174332.5	pc	one-to-one
ENSMUSG00000100974.1	other	ENSG00000147059.8	pc	one-to-many
ENSMUSG00000079523.8	pc	ENSG00000034510.5	pc	many-to-many
ENSMUSG00000020642.13	pc	ENSG00000151692.14	pc	one-to-one
ENSMUSG00000033633.14	pc	ENSG00000157335.20	pc	one-to-many
ENSMUSG00000105346.1	other	ENSG00000254612.2	other	one-to-many
ENSMUSG00000033106.6	pc	ENSG00000103061.12	pc	one-to-one
ENSMUSG00000043110.2	pc	ENSG00000125872.7	pc	one-to-one
ENSMUSG00000066880.15	pc	ENSG00000268870.1	pc	many-to-many
ENSMUSG00000038170.15	pc	ENSG00000228823.1	other	many-to-many
ENSMUSG00000082765.3	other	ENSG00000242852.6	pc	many-to-many
ENSMUSG00000092192.7	pc	ENSG00000261771.5	lncRNA	many-to-many
ENSMUSG00000056824.15	pc	ENSG00000283757.1	lncRNA	many-to-many
ENSMUSG00000084235.2	other	ENSG00000164815.10	pc	many-to-many
ENSMUSG00000027702.7	pc	ENSG00000171757.15	pc	one-to-many
ENSMUSG00000021456.8	pc	ENSG00000237743.3	other	one-to-many
ENSMUSG00000030148.15	pc	ENSG00000111729.14	pc	many-to-many
ENSMUSG00000114489.1	other	ENSG00000226348.1	other	one-to-many
ENSMUSG00000038859.7	pc	ENSG00000270437.1	other	one-to-many
ENSMUSG00000047242.14	pc	ENSG00000187325.4	pc	one-to-many
ENSMUSG00000027006.13	pc	ENSG00000077232.17	pc	one-to-many
ENSMUSG00000063457.14	pc	ENSG00000115268.9	pc	one-to-one
ENSMUSG00000108912.1	lncRNA	ENSG00000274204.1	lncRNA	one-to-one
ENSMUSG00000049047.11	pc	ENSG00000102401.19	pc	one-to-many
ENSMUSG00000039046.15	pc	ENSG00000188755.9	other	many-to-many
ENSMUSG00000024927.7	pc	ENSG00000173039.18	pc	one-to-many
ENSMUSG00000079741.5	other	ENSG00000160505.15	pc	one-to-many
ENSMUSG00000051351.14	pc	ENSG00000225463.1	other	many-to-many
ENSMUSG00000073778.2	lncRNA	ENSG00000254721.1	lncRNA	one-to-half
ENSMUSG00000040972.8	pc	ENSG00000117154.11	pc	one-to-many
ENSMUSG00000043880.5	pc	ENSG00000197591.3	pc	one-to-one
ENSMUSG00000027694.9	other	ENSG00000264150.1	other	many-to-many
ENSMUSG00000115600.1	other	ENSG00000254505.9	pc	many-to-many
ENSMUSG00000084213.1	other	ENSG00000224412.1	other	many-to-many
ENSMUSG00000090808.2	pc	ENSG00000276203.4	pc	many-to-many
ENSMUSG00000055799.13	pc	ENSG00000152284.4	pc	one-to-one
ENSMUSG00000049093.9	pc	ENSG00000162594.15	pc	one-to-one
ENSMUSG00000115126.1	other	ENSG00000267526.1	other	many-to-many
ENSMUSG00000098187.1	other	ENSG00000228232.1	other	one-to-many
ENSMUSG00000003418.11	pc	ENSG00000148488.15	pc	one-to-one
ENSMUSG00000054115.11	pc	ENSG00000145604.15	pc	one-to-many
ENSMUSG00000110287.1	other	ENSG00000224837.1	other	one-to-many
ENSMUSG00000046258.4	pc	ENSG00000168594.15	pc	one-to-one
ENSMUSG00000026028.12	pc	ENSG00000115993.12	pc	many-to-many
ENSMUSG00000094122.1	other	ENSG00000239983.1	other	many-to-many
ENSMUSG00000055917.15	pc	ENSG00000198839.9	pc	one-to-many
ENSMUSG00000038542.14	pc	ENSG00000126226.21	pc	one-to-one
ENSMUSG00000107176.1	other	ENSG00000243939.1	other	many-to-many
ENSMUSG00000089634.1	other	ENSG00000204872.4	other	one-to-many
ENSMUSG00000025507.13	pc	ENSG00000177595.17	pc	one-to-one
ENSMUSG00000095977.1	ncRNA	ENSG00000239183.1	ncRNA	many-to-many
ENSMUSG00000038429.10	pc	ENSG00000111667.13	pc	one-to-many
ENSMUSG00000027132.3	pc	ENSG00000249270.1	other	many-to-many
ENSMUSG00000094837.1	ncRNA	ENSG00000206688.1	ncRNA	one-to-many
ENSMUSG00000043822.18	pc	ENSG00000185761.10	pc	one-to-one
ENSMUSG00000005917.15	pc	ENSG00000115507.9	pc	one-to-one
ENSMUSG00000102120.1	other	ENSG00000186787.8	pc	one-to-many
ENSMUSG00000100265.1	pc	ENSG00000227671.4	other	many-to-many
ENSMUSG00000033343.1	pc	ENSG00000147381.11	pc	one-to-one
ENSMUSG00000061195.8	pc	ENSG00000186092.5	pc	many-to-many
ENSMUSG00000069184.4	pc	ENSG00000250145.1	other	many-to-many
ENSMUSG00000038888.8	pc	ENSG00000269388.1	other	one-to-many
ENSMUSG00000109241.1	other	ENSG00000241941.2	other	many-to-many
ENSMUSG00000083153.1	other	ENSG00000237139.1	other	one-to-many
ENSMUSG00000060738.4	pc	ENSG00000172179.11	pc	one-to-many
ENSMUSG00000056706.2	pc	ENSG00000274749.1	pc	one-to-one
ENSMUSG00000020810.5	pc	ENSG00000161544.9	pc	one-to-one
ENSMUSG00000101240.1	other	ENSG00000234782.3	other	one-to-many
ENSMUSG00000064570.1	ncRNA	ENSG00000202231.1	ncRNA	one-to-many
ENSMUSG00000090188.1	other	ENSG00000175886.10	other	one-to-many
ENSMUSG00000078512.8	pc	ENSG00000182330.10	pc	many-to-many
ENSMUSG00000079575.3	other	ENSG00000232239.2	other	many-to-many
ENSMUSG00000022544.13	pc	ENSG00000242731.3	other	many-to-many
ENSMUSG00000041025.15	pc	ENSG00000255275.3	pc	many-to-many
ENSMUSG00000084416.3	other	ENSG00000244691.1	other	many-to-many
ENSMUSG00000104920.1	other	ENSG00000235238.1	other	one-to-many
ENSMUSG00000032557.12	pc	ENSG00000081307.12	pc	one-to-many
ENSMUSG00000104695.1	other	ENSG00000216866.5	other	one-to-many
ENSMUSG00000103677.1	pc	ENSG00000262209.2	pc	many-to-many
ENSMUSG00000059772.12	pc	ENSG00000196502.11	pc	many-to-many
ENSMUSG00000103878.1	other	ENSG00000087460.24	pc	one-to-many
ENSMUSG00000034664.13	pc	ENSG00000005961.17	pc	one-to-one
ENSMUSG00000026285.7	pc	ENSG00000188389.10	pc	one-to-one
ENSMUSG00000115303.1	other	ENSG00000228232.1	other	one-to-many
ENSMUSG00000061518.10	pc	ENSG00000135940.6	pc	one-to-one
ENSMUSG00000110829.1	other	ENSG00000183298.5	other	many-to-many
ENSMUSG00000114365.1	other	ENSG00000236411.1	other	many-to-many
ENSMUSG00000047996.16	pc	ENSG00000250349.3	pc	many-to-many
ENSMUSG00000090693.4	pc	ENSG00000276637.1	other	many-to-many
ENSMUSG00000074092.5	other	ENSG00000226395.1	other	many-to-many
ENSMUSG00000030474.9	pc	ENSG00000105501.12	pc	many-to-many
ENSMUSG00000037434.7	pc	ENSG00000170385.9	pc	one-to-one
ENSMUSG00000024271.7	pc	ENSG00000134759.13	pc	one-to-one
ENSMUSG00000081064.1	other	ENSG00000198618.5	other	one-to-many
ENSMUSG00000007122.11	pc	ENSG00000143318.12	pc	one-to-one
ENSMUSG00000081127.1	other	ENSG00000226439.3	other	many-to-many
ENSMUSG00000080760.1	other	ENSG00000175470.18	pc	many-to-many
ENSMUSG00000035383.7	pc	ENSG00000168967.14	other	one-to-many
ENSMUSG00000115706.1	other	ENSG00000262560.1	pc	many-to-many
ENSMUSG00000049573.3	pc	ENSG00000205327.3	pc	one-to-many
ENSMUSG00000111668.1	other	ENSG00000218502.3	other	one-to-many
ENSMUSG00000104960.1	lncRNA	ENSG00000206903.1	ncRNA	many-to-many
ENSMUSG00000113364.1	other	ENSG00000219391.1	other	one-to-many
ENSMUSG00000114223.1	other	ENSG00000250076.1	other	one-to-many
ENSMUSG00000077590.1	ncRNA	ENSG00000281808.1	ncRNA	many-to-many
ENSMUSG00000107211.1	other	ENSG00000264172.1	other	many-to-many
ENSMUSG00000110744.1	other	ENSG00000260290.2	other	one-to-many
ENSMUSG00000093990.1	other	ENSG00000218872.1	other	many-to-many
ENSMUSG00000040033.16	pc	ENSG00000170581.13	pc	one-to-one
ENSMUSG00000028860.13	pc	ENSG00000142765.17	pc	one-to-one
ENSMUSG00000063715.2	pc	ENSG00000213451.2	other	one-to-many
ENSMUSG00000054519.8	pc	ENSG00000186300.11	pc	many-to-many
ENSMUSG00000022178.11	pc	ENSG00000129474.15	pc	many-to-many
ENSMUSG00000098683.1	ncRNA	ENSG00000277966.1	ncRNA	many-to-many
ENSMUSG00000101356.1	lncRNA	ENSG00000250432.5	lncRNA	many-to-many
ENSMUSG00000089929.1	pc	ENSG00000180953.11	pc	many-to-many
ENSMUSG00000062646.12	pc	ENSG00000258461.5	pc	many-to-many
ENSMUSG00000029617.10	pc	ENSG00000250202.2	other	many-to-many
ENSMUSG00000099541.1	pc	ENSG00000139351.14	pc	one-to-many
ENSMUSG00000003131.7	pc	ENSG00000257501.6	other	many-to-many
ENSMUSG00000083716.4	other	ENSG00000241385.1	other	many-to-many
ENSMUSG00000082068.1	other	ENSG00000212464.1	ncRNA	many-to-many
ENSMUSG00000107581.1	other	ENSG00000197123.9	pc	one-to-many
ENSMUSG00000108823.1	other	ENSG00000259397.3	other	one-to-many
ENSMUSG00000109713.1	pc	ENSG00000121716.20	pc	many-to-many
ENSMUSG00000100250.1	other	ENSG00000183695.2	pc	one-to-many
ENSMUSG00000024908.15	pc	ENSG00000110075.14	pc	one-to-many
ENSMUSG00000083318.1	other	ENSG00000101161.7	pc	one-to-many
ENSMUSG00000112908.1	other	ENSG00000227586.5	other	many-to-many
ENSMUSG00000024087.3	pc	ENSG00000138061.11	pc	one-to-one
ENSMUSG00000076939.2	other	ENSG00000223350.2	other	one-to-many
ENSMUSG00000012848.15	pc	ENSG00000237730.1	other	many-to-many
ENSMUSG00000020143.15	pc	ENSG00000263831.1	ncRNA	one-to-many
ENSMUSG00000109451.1	other	ENSG00000140263.13	pc	many-to-many
ENSMUSG00000020411.2	pc	ENSG00000172548.14	pc	one-to-one
ENSMUSG00000115017.1	other	ENSG00000234570.1	other	many-to-many
ENSMUSG00000073758.10	pc	ENSG00000214193.10	pc	one-to-one
ENSMUSG00000054452.10	pc	ENSG00000104964.14	pc	one-to-one
ENSMUSG00000081969.1	other	ENSG00000132967.9	other	one-to-many
ENSMUSG00000027030.15	pc	ENSG00000198648.10	pc	one-to-one
ENSMUSG00000029111.7	pc	ENSG00000185049.14	pc	one-to-many
ENSMUSG00000022098.10	pc	ENSG00000168487.17	pc	one-to-one
ENSMUSG00000022780.5	pc	ENSG00000163975.11	pc	one-to-one
ENSMUSG00000037001.10	pc	ENSG00000141946.1	pc	many-to-many
ENSMUSG00000032718.4	pc	ENSG00000111261.13	pc	one-to-many
ENSMUSG00000023104.9	pc	ENSG00000224529.1	other	one-to-many
ENSMUSG00000098185.1	other	ENSG00000228232.1	other	one-to-many
ENSMUSG00000074657.5	pc	ENSG00000155980.11	pc	one-to-one
ENSMUSG00000030373.6	pc	ENSG00000105388.15	pc	many-to-many
ENSMUSG00000017774.19	pc	ENSG00000197879.14	pc	one-to-one
ENSMUSG00000024798.15	pc	ENSG00000148680.15	pc	one-to-many
ENSMUSG00000045128.9	pc	ENSG00000105640.12	pc	many-to-many
ENSMUSG00000107601.1	other	ENSG00000166260.11	pc	one-to-many
ENSMUSG00000113554.1	other	ENSG00000232362.1	other	one-to-many
ENSMUSG00000034724.17	pc	ENSG00000138767.12	pc	one-to-many
ENSMUSG00000026670.15	pc	ENSG00000117143.13	pc	one-to-one
ENSMUSG00000088884.1	ncRNA	ENSG00000281808.1	ncRNA	many-to-many
ENSMUSG00000100215.1	other	ENSG00000231930.1	other	many-to-many
ENSMUSG00000029617.10	pc	ENSG00000243554.1	other	many-to-many
ENSMUSG00000099056.1	other	ENSG00000107937.18	pc	one-to-many
ENSMUSG00000110275.1	other	ENSG00000214889.3	other	many-to-many
ENSMUSG00000039427.14	pc	ENSG00000251271.3	other	many-to-many
ENSMUSG00000096582.1	pc	ENSG00000188379.6	pc	one-to-many
ENSMUSG00000089690.1	other	ENSG00000243290.3	other	one-to-many
ENSMUSG00000020566.19	pc	ENSG00000143882.10	pc	one-to-many
ENSMUSG00000106363.1	other	ENSG00000230202.1	other	one-to-many
ENSMUSG00000109425.1	other	ENSG00000134376.15	pc	one-to-many
ENSMUSG00000034930.16	pc	ENSG00000114993.16	pc	one-to-one
ENSMUSG00000091006.2	pc	ENSG00000213014.3	other	one-to-many
ENSMUSG00000047676.6	other	ENSG00000253621.1	other	many-to-many
ENSMUSG00000027305.9	pc	ENSG00000266932.1	other	one-to-many
ENSMUSG00000085627.2	other	ENSG00000231579.3	other	many-to-many
ENSMUSG00000065095.1	ncRNA	ENSG00000156976.16	pc	many-to-many
ENSMUSG00000065451.1	ncRNA	ENSG00000199135.1	ncRNA	one-to-many
ENSMUSG00000066820.6	pc	ENSG00000226348.1	other	one-to-many
ENSMUSG00000115420.1	lncRNA	ENSG00000269900.3	lncRNA	many-to-many
ENSMUSG00000100551.1	other	ENSG00000233648.1	other	many-to-many
ENSMUSG00000081273.1	other	ENSG00000241494.1	other	one-to-many
ENSMUSG00000109378.1	pc	ENSG00000126246.9	pc	many-to-many
ENSMUSG00000035640.18	pc	ENSG00000099625.12	pc	one-to-one
ENSMUSG00000087912.1	ncRNA	ENSG00000238862.1	ncRNA	many-to-many
ENSMUSG00000093365.2	ncRNA	ENSG00000226642.1	other	many-to-many
ENSMUSG00000033533.14	pc	ENSG00000274691.1	other	many-to-many
ENSMUSG00000115785.1	lncRNA	ENSG00000251485.1	other	many-to-many
ENSMUSG00000094496.2	pc	ENSG00000233606.2	other	one-to-many
ENSMUSG00000084106.4	other	ENSG00000242390.1	other	many-to-many
ENSMUSG00000090553.8	pc	ENSG00000182004.12	pc	one-to-one
ENSMUSG00000034349.14	pc	ENSG00000113810.15	pc	one-to-many
ENSMUSG00000077323.1	ncRNA	ENSG00000212429.1	ncRNA	many-to-many
ENSMUSG00000103677.1	pc	ENSG00000253485.2	pc	many-to-many
ENSMUSG00000110259.2	pc	ENSG00000176239.7	pc	many-to-many
ENSMUSG00000052456.9	pc	ENSG00000198356.11	pc	one-to-many
ENSMUSG00000106872.1	other	ENSG00000243504.1	other	one-to-many
ENSMUSG00000090840.2	pc	ENSG00000283268.1	pc	many-to-many
ENSMUSG00000099493.1	other	ENSG00000147059.8	pc	one-to-many
ENSMUSG00000082389.2	other	ENSG00000258128.2	other	many-to-many
ENSMUSG00000094589.1	pc	ENSG00000268163.1	pc	many-to-many
ENSMUSG00000022996.15	pc	ENSG00000169884.13	pc	one-to-one
ENSMUSG00000079162.8	pc	ENSG00000254993.1	other	many-to-many
ENSMUSG00000003208.8	pc	ENSG00000105248.15	pc	one-to-many
ENSMUSG00000040929.16	pc	ENSG00000080298.15	pc	one-to-one
ENSMUSG00000111823.1	other	ENSG00000253502.1	other	one-to-many
ENSMUSG00000031901.12	pc	ENSG00000167264.17	pc	many-to-many
ENSMUSG00000058355.8	pc	ENSG00000226723.2	other	one-to-many
ENSMUSG00000083524.1	other	ENSG00000228623.5	pc	many-to-many
ENSMUSG00000022096.14	pc	ENSG00000168453.14	pc	one-to-one
ENSMUSG00000020652.17	pc	ENSG00000248236.1	other	one-to-many
ENSMUSG00000006344.17	pc	ENSG00000284679.1	other	many-to-many
ENSMUSG00000005339.10	pc	ENSG00000179639.10	pc	one-to-one
ENSMUSG00000044039.4	pc	ENSG00000275771.1	other	many-to-many
ENSMUSG00000112364.1	other	ENSG00000237064.1	other	many-to-many
ENSMUSG00000073448.1	pc	ENSG00000213973.8	pc	one-to-many
ENSMUSG00000094876.1	pc	ENSG00000244234.1	other	one-to-many
ENSMUSG00000099034.7	other	ENSG00000250571.6	pc	many-to-many
ENSMUSG00000044033.16	pc	ENSG00000163492.14	pc	one-to-one
ENSMUSG00000034110.8	pc	ENSG00000243335.9	pc	many-to-many
ENSMUSG00000114581.1	other	ENSG00000132967.9	other	one-to-many
ENSMUSG00000047649.9	pc	ENSG00000117877.10	pc	one-to-one
ENSMUSG00000048218.5	pc	ENSG00000139211.6	pc	one-to-one
ENSMUSG00000082556.1	other	ENSG00000224004.2	other	one-to-many
ENSMUSG00000100643.1	other	ENSG00000147059.8	pc	one-to-many
ENSMUSG00000080992.1	other	ENSG00000260012.1	other	one-to-many
ENSMUSG00000076572.6	other	ENSG00000211632.4	other	many-to-many
ENSMUSG00000096180.1	pc	ENSG00000276204.1	other	one-to-many
ENSMUSG00000046731.4	pc	ENSG00000213859.4	pc	one-to-one
ENSMUSG00000034602.15	pc	ENSG00000061987.15	pc	one-to-one
ENSMUSG00000111967.1	other	ENSG00000152147.10	pc	one-to-many
ENSMUSG00000102976.5	pc	ENSG00000058673.16	pc	many-to-many
ENSMUSG00000050876.9	pc	ENSG00000186788.13	pc	many-to-many
ENSMUSG00000047696.16	pc	ENSG00000259214.1	other	many-to-many
ENSMUSG00000105232.1	ncRNA	ENSG00000221148.1	ncRNA	many-to-many
ENSMUSG00000004894.10	pc	ENSG00000132702.12	pc	one-to-one
ENSMUSG00000029831.7	pc	ENSG00000105954.2	pc	one-to-one
ENSMUSG00000115267.1	pc	ENSG00000174677.4	other	one-to-many
ENSMUSG00000066861.14	pc	ENSG00000089127.12	pc	one-to-many
ENSMUSG00000063133.2	pc	ENSG00000167748.10	pc	many-to-many
ENSMUSG00000104337.1	other	ENSG00000048405.9	pc	one-to-many
ENSMUSG00000059323.13	pc	ENSG00000160948.13	pc	one-to-many
ENSMUSG00000056600.4	pc	ENSG00000204657.4	pc	one-to-many
ENSMUSG00000096520.7	pc	ENSG00000243040.6	other	many-to-many
ENSMUSG00000035139.14	pc	ENSG00000271664.1	other	one-to-many
ENSMUSG00000102566.1	other	ENSG00000204196.5	other	many-to-many
ENSMUSG00000015165.16	pc	ENSG00000104824.16	pc	many-to-many
ENSMUSG00000001289.12	pc	ENSG00000139637.13	pc	many-to-many
ENSMUSG00000099522.1	other	ENSG00000147059.8	pc	one-to-many
ENSMUSG00000061232.15	pc	ENSG00000204592.8	pc	many-to-many
ENSMUSG00000042515.13	pc	ENSG00000157502.13	pc	one-to-one
ENSMUSG00000040822.7	pc	ENSG00000179933.5	pc	one-to-many
ENSMUSG00000064453.1	ncRNA	ENSG00000122406.12	pc	many-to-many
ENSMUSG00000044813.15	pc	ENSG00000255872.3	pc	many-to-many
ENSMUSG00000085198.1	lncRNA	ENSG00000230202.1	other	one-to-many
ENSMUSG00000099470.1	lncRNA	ENSG00000236914.3	lncRNA	one-to-one
ENSMUSG00000059108.4	pc	ENSG00000185201.16	pc	one-to-many
ENSMUSG00000043424.10	pc	ENSG00000237747.1	other	many-to-many
ENSMUSG00000032611.9	pc	ENSG00000188315.7	pc	one-to-many
ENSMUSG00000079941.1	pc	ENSG00000255010.1	other	many-to-many
ENSMUSG00000102821.1	other	ENSG00000211713.3	other	many-to-many
ENSMUSG00000004031.13	pc	ENSG00000198797.6	pc	one-to-one
ENSMUSG00000107764.1	other	ENSG00000137106.17	pc	many-to-many
ENSMUSG00000089883.1	other	ENSG00000220842.6	other	one-to-many
ENSMUSG00000102806.1	other	ENSG00000211961.3	other	one-to-many
ENSMUSG00000099582.1	other	ENSG00000266613.1	other	one-to-many
ENSMUSG00000089335.1	ncRNA	ENSG00000212589.1	ncRNA	one-to-many
ENSMUSG00000087007.1	other	ENSG00000186787.8	pc	one-to-many
ENSMUSG00000044040.3	pc	ENSG00000186513.3	pc	one-to-one
ENSMUSG00000025795.8	pc	ENSG00000153179.12	pc	one-to-one
ENSMUSG00000016028.10	pc	ENSG00000075275.16	pc	many-to-many
ENSMUSG00000086436.2	other	ENSG00000218359.1	other	many-to-many
ENSMUSG00000040675.17	pc	ENSG00000228522.2	other	many-to-many
ENSMUSG00000083752.1	other	ENSG00000146197.8	pc	one-to-many
ENSMUSG00000085627.2	other	ENSG00000259208.2	other	many-to-many
ENSMUSG00000114368.1	other	ENSG00000146677.7	other	one-to-many
ENSMUSG00000020908.14	pc	ENSG00000109063.14	pc	one-to-many
ENSMUSG00000104258.1	lncRNA	ENSG00000255300.5	lncRNA	one-to-one
ENSMUSG00000064495.1	ncRNA	ENSG00000200656.1	ncRNA	one-to-many
ENSMUSG00000100019.1	other	ENSG00000103485.17	pc	many-to-many
ENSMUSG00000004508.6	pc	ENSG00000033327.12	pc	many-to-many
ENSMUSG00000021983.16	pc	ENSG00000132932.16	pc	many-to-many
ENSMUSG00000073879.4	other	ENSG00000205108.5	pc	one-to-many
ENSMUSG00000005973.6	pc	ENSG00000049449.8	pc	many-to-many
ENSMUSG00000055030.1	pc	ENSG00000203785.8	pc	one-to-many
ENSMUSG00000098170.1	other	ENSG00000228232.1	other	one-to-many
ENSMUSG00000027120.6	pc	ENSG00000131808.10	pc	one-to-many
ENSMUSG00000091809.4	pc	ENSG00000177151.4	pc	many-to-many
ENSMUSG00000100983.1	other	ENSG00000186787.8	pc	one-to-many
ENSMUSG00000092461.1	other	ENSG00000249691.1	other	one-to-many
ENSMUSG00000108203.1	other	ENSG00000259316.10	pc	many-to-many
ENSMUSG00000054199.17	pc	ENSG00000163374.19	pc	many-to-many
ENSMUSG00000084861.1	lncRNA	ENSG00000244036.3	lncRNA	one-to-one
ENSMUSG00000092232.1	pc	ENSG00000213018.2	other	many-to-many
ENSMUSG00000074578.13	lncRNA	ENSG00000212304.1	ncRNA	many-to-many
ENSMUSG00000074454.3	pc	ENSG00000215372.6	pc	many-to-many
ENSMUSG00000101221.1	other	ENSG00000147059.8	pc	one-to-many
ENSMUSG00000002900.16	pc	ENSG00000238297.2	ncRNA	one-to-many
ENSMUSG00000029273.10	pc	ENSG00000236959.1	other	many-to-many
ENSMUSG00000081453.1	other	ENSG00000196205.8	other	many-to-many
ENSMUSG00000031980.9	pc	ENSG00000135744.7	pc	one-to-many
ENSMUSG00000062758.6	other	ENSG00000175886.10	other	many-to-many
ENSMUSG00000064417.1	ncRNA	ENSG00000202048.1	ncRNA	many-to-many
ENSMUSG00000028693.15	pc	ENSG00000255397.1	other	many-to-many
ENSMUSG00000034006.16	pc	ENSG00000122490.18	pc	one-to-one
ENSMUSG00000039529.8	pc	ENSG00000081923.11	pc	one-to-many
ENSMUSG00000031134.16	pc	ENSG00000247950.6	lncRNA	many-to-many
ENSMUSG00000087224.1	other	ENSG00000186787.8	pc	one-to-many
ENSMUSG00000107761.1	lncRNA	ENSG00000184574.9	pc	one-to-many
ENSMUSG00000021314.12	pc	ENSG00000230087.1	other	one-to-many
ENSMUSG00000035245.12	pc	ENSG00000163378.13	pc	one-to-many
ENSMUSG00000074424.3	pc	ENSG00000251284.2	other	one-to-many
ENSMUSG00000083950.1	other	ENSG00000220749.4	other	one-to-many
ENSMUSG00000046897.16	pc	ENSG00000139651.10	pc	one-to-one
ENSMUSG00000035762.11	pc	ENSG00000164180.13	pc	one-to-many
ENSMUSG00000108991.1	lncRNA	ENSG00000259404.5	other	many-to-many
ENSMUSG00000096084.2	other	ENSG00000131050.10	pc	one-to-many
ENSMUSG00000109350.1	pc	ENSG00000234906.9	pc	many-to-many
ENSMUSG00000002778.14	pc	ENSG00000105438.8	pc	one-to-one
ENSMUSG00000023994.13	pc	ENSG00000001167.14	pc	one-to-many
ENSMUSG00000084106.4	other	ENSG00000242285.1	other	many-to-many
ENSMUSG00000105881.1	lncRNA	ENSG00000274292.1	lncRNA	many-to-many
ENSMUSG00000037119.4	pc	ENSG00000176853.15	pc	many-to-many
ENSMUSG00000059547.3	pc	ENSG00000164049.14	pc	one-to-many
ENSMUSG00000074575.4	pc	ENSG00000026559.13	pc	one-to-one
ENSMUSG00000074435.10	pc	ENSG00000163206.5	pc	one-to-one
ENSMUSG00000104521.1	lncRNA	ENSG00000249423.1	lncRNA	one-to-one
ENSMUSG00000017165.1	pc	ENSG00000184502.3	pc	one-to-one
ENSMUSG00000115443.1	other	ENSG00000232888.4	other	one-to-many
ENSMUSG00000020059.9	pc	ENSG00000275194.1	other	many-to-many
ENSMUSG00000031939.16	pc	ENSG00000206834.1	ncRNA	many-to-many
ENSMUSG00000067942.5	pc	ENSG00000197937.12	pc	many-to-many
ENSMUSG00000024913.16	pc	ENSG00000100068.11	pc	many-to-many
ENSMUSG00000084478.1	ncRNA	ENSG00000203965.12	pc	one-to-many
ENSMUSG00000048693.5	pc	ENSG00000170356.9	other	many-to-many
ENSMUSG00000020481.15	pc	ENSG00000107890.16	pc	many-to-many
ENSMUSG00000044018.3	pc	ENSG00000234587.1	other	one-to-many
ENSMUSG00000062426.2	pc	ENSG00000241128.2	pc	many-to-many
ENSMUSG00000095159.2	other	ENSG00000159247.13	other	many-to-many
ENSMUSG00000104529.4	lncRNA	ENSG00000272968.5	pc	many-to-many
ENSMUSG00000081873.1	other	ENSG00000230106.1	other	many-to-many
ENSMUSG00000022286.16	pc	ENSG00000083307.10	pc	one-to-one
ENSMUSG00000108106.2	other	ENSG00000111215.11	pc	many-to-many
ENSMUSG00000040528.15	pc	ENSG00000271605.5	pc	one-to-one
ENSMUSG00000026926.14	pc	ENSG00000165688.11	pc	one-to-many
ENSMUSG00000102152.1	lncRNA	ENSG00000270441.1	other	one-to-many
ENSMUSG00000015467.14	pc	ENSG00000241404.6	pc	many-to-many
ENSMUSG00000023043.6	pc	ENSG00000214012.4	other	many-to-many
ENSMUSG00000049532.11	pc	ENSG00000267187.1	other	one-to-many
ENSMUSG00000030225.11	pc	ENSG00000023697.12	pc	one-to-one
ENSMUSG00000029720.9	pc	ENSG00000274272.1	lncRNA	many-to-many
ENSMUSG00000020608.7	pc	ENSG00000163029.15	pc	one-to-one
ENSMUSG00000036959.15	pc	ENSG00000085185.15	pc	one-to-one
ENSMUSG00000083240.3	other	ENSG00000253502.1	other	many-to-many
ENSMUSG00000028689.14	pc	ENSG00000280670.2	pc	many-to-many
ENSMUSG00000046318.15	pc	ENSG00000183287.13	pc	one-to-one
