Database_ID	ncRNA_Symbol	ncRNA_Category	Species	Detection_Method	Strong_Evidence	Weak_Evidence	Score	Causality	Clinical	ncRNA_ID
LDA0004682	BISPR	LncRNA	Homo sapiens	Strong evidence	Western Blot//CCK8//qRT-PCR//Flow Cytometry//Luciferase Report Assay//Transwell Assay		0.731059	Yes	Unknown	RID00453
LDA0004686	BICDL3P	LncRNA	Homo sapiens	Strong evidence	qRT-PCR//RNA Pull-Down		0.731059	Yes	Unknown	RID00450
LDA0004689	BICDL3P	LncRNA	Homo sapiens	Strong evidence	qRT-PCR//MeRIP		0.731059	Yes	Yes	RID00450
LDA0004690	BGLT3	LncRNA	Homo sapiens	Strong evidence	qRT-PCR//Wound Healing Assay//Co-IP//Western Blot		0.731059	Yes	Yes	RID00448
LDA0004691	BG981369	LncRNA	Homo sapiens	Strong evidence	Migration Assay//qRT-PCR//MTT//Cell Cycle Assay//Colony Formation Assay//Invasion Assay		0.731059	Yes	Unknown	RID00447
LDA0004692	BE503655	LncRNA	Homo sapiens	Strong evidence	qRT-PCR//Transwell Assay//Western Blot		0.731059	Yes	Unknown	RID00444
LDA0004693	BDNF-AS	LncRNA	Homo sapiens	Strong evidence	qRT-PCR//Transwell Assay//RIP//ChIP		0.731059	Yes	Unknown	RID00443
LDA0004694	BDNF-AS	LncRNA	Homo sapiens	Strong evidence	RNA Pull-Down//Western Blot//CCK8//qRT-PCR//RIP//Cell Apoptosis Assay//ChIP		0.731059	Yes	Unknown	RID00443
LDA0004695	BDNF-AS	LncRNA	Homo sapiens	Strong evidence	In Vivo Experiment//Western Blot//Transfection//Wound Healing Assay//CCK8//qRT-PCR//RIP//Luciferase Report Assay//IHC//EdU Staining		0.731059	Yes	Unknown	RID00443
LDA0004696	BICDL3P	LncRNA	Homo sapiens	Strong evidence	RNA Pull-Down//Western Blot//CCK8//qRT-PCR//RIP//Flow Cytometry//Luciferase Report Assay//Colony Formation Assay		0.731059	Yes	Unknown	RID00450
LDA0004698	BASP1-AS1	LncRNA	Homo sapiens	Strong evidence	In Vivo Experiment//RNA Pull-Down//Western Blot//Migration Assay//Colony Formation Assay//qRT-PCR//RIP//CHIP//Invasion Assay		0.731059	Yes	Unknown	RID00425
LDA0004699	BLACAT1	LncRNA	Homo sapiens	Strong evidence	qRT-PCR//Transwell Assay		0.731059	Yes	Yes	RID00454
LDA0004700	BMI1	LncRNA	Homo sapiens	Strong evidence	Transfection//qPCR//Proliferation Assay//RIP//Cell Apoptosis Assay//PCR//Cell Proliferation Assay//IP//IF		0.731059	Yes	Unknown	RID00461
LDA0004701	BM466146	LncRNA	Homo sapiens	Strong evidence	CCK8//qRT-PCR//EdU Staining		0.731059	Yes	Yes	RID00460
LDA0004703	BLACAT2	LncRNA	Homo sapiens	Strong evidence	In Vivo Experiment//Western Blot//Wound Healing Assay//CCK8//qRT-PCR//Luciferase Report Assay//Colony Formation Assay//Invasion Assay//Transwell Assay		0.731059	Yes	Unknown	RID00455
LDA0004704	BLACAT1	LncRNA	Homo sapiens	Strong evidence	Western Blot//Wound Healing Assay//CCK8//qRT-PCR//Luciferase Report Assay		0.731059	Yes	Yes	RID00454
LDA0004707	BLACAT1	LncRNA	Homo sapiens	Strong evidence	qRT-PCR//Luciferase Report Assay		0.731059	Yes	Unknown	RID00454
LDA0004708	BLACAT1	LncRNA	Homo sapiens	Strong evidence	Wound Healing Assay//Flow Cytometry//qRT-PCR//MTT//Luciferase Report Assay//EdU Staining//Transwell Assay		0.731059	Yes	Unknown	RID00454
LDA0004709	BLACAT1	LncRNA	Homo sapiens	Strong evidence	Western Blot//qRT-PCR//MTT//Luciferase Report Assay//Transwell Assay		0.731059	Yes	Unknown	RID00454
LDA0004711	BLACAT1	LncRNA	Homo sapiens	Strong evidence	qRT-PCR//Western Blot		0.731059	Yes	Unknown	RID00454
LDA0004713	BLACAT1	LncRNA	Homo sapiens	Strong evidence	RNA Pull-Down//Western Blot//CCK8//qRT-PCR//RIP//Luciferase Report Assay//EdU Staining//Transwell Assay		0.731059	Yes	Unknown	RID00454
LDA0004714	BDNF-AS	LncRNA	Homo sapiens	Strong evidence	qRT-PCR		0.731059	Yes	Yes	RID00443
LDA0004715	BCYRN1	LncRNA	Homo sapiens	Strong evidence	qRT-PCR		0.731059	Yes	Unknown	RID00442
LDA0004717	BCAR4	LncRNA	Homo sapiens	Strong evidence	Western Blot//Wound Healing Assay//CCK8//qRT-PCR//Colony Formation Assay//Transwell Assay		0.731059	Yes	Yes	RID00436
LDA0004718	BCAN-AS1	LncRNA	Homo sapiens	Strong evidence	Western Blot//Wound Healing Assay//CCK8//qRT-PCR//RIP//Luciferase Report Assay		0.731059	Yes	Unknown	RID00434
LDA0004719	BCAN-AS1	LncRNA	Homo sapiens	Strong evidence	CCK8//qRT-PCR//Flow Cytometry//Transwell Assay		0.731059	Yes	Unknown	RID00434
LDA0004720	BC050642	LncRNA	Homo sapiens	Strong evidence	CCK8//qRT-PCR//Colony Formation Assay//Cell Apoptosis Assay		0.731059	Yes	Unknown	RID00431
LDA0004721	BC037916	LncRNA	Homo sapiens	Strong evidence	qRT-PCR		0.731059	Yes	Unknown	RID00428
LDA0004722	BBOX1-AS1	LncRNA	Homo sapiens	Strong evidence	RNA Pull-Down//Western Blot//qRT-PCR//RIP//Luciferase Report Assay		0.731059	Yes	Unknown	RID00426
LDA0004724	BBOX1-AS1	LncRNA	Homo sapiens	Strong evidence	qRT-PCR//Western Blot//Luciferase Report Assay//Colony Formation Assay		0.731059	Yes	Unknown	RID00426
LDA0004725	BBOX1-AS1	LncRNA	Homo sapiens	Strong evidence	In Vivo Experiment		0.731059	Yes	Unknown	RID00426
LDA0004726	BBOX1-AS1	LncRNA	Homo sapiens	Strong evidence	RNA Pull-Down//Western Blot//CCK8//qRT-PCR//RIP//Flow Cytometry//Luciferase Report Assay//Colony Formation Assay		0.731059	Yes	Unknown	RID00426
LDA0004727	BBOX1-AS1	LncRNA	Homo sapiens	Strong evidence	RNA Pull-Down//Western Blot//CCK8//FISH//qRT-PCR//RIP//Luciferase Report Assay//Colony Formation Assay//Transwell Assay		0.731059	Yes	Unknown	RID00426
LDA0004728	BBOX1-AS1	LncRNA	Homo sapiens	Strong evidence	RNA Pull-Down//Western Blot//Transfection//Wound Healing Assay//Invasion Assay//Migration Assay//CCK8//qRT-PCR//Luciferase Report Assay//EdU Staining//Transwell Assay		0.731059	Yes	Unknown	RID00426
LDA0004729	BBOX1-AS1	LncRNA	Homo sapiens	Strong evidence	CCK8//qRT-PCR//Wound Healing Assay//Flow Cytometry		0.731059	Yes	Unknown	RID00426
LDA0004730	BBOX1-AS1	LncRNA	Homo sapiens	Strong evidence	In Vivo Experiment//Western Blot//Transfection//CCK8//qRT-PCR//RIP//Luciferase Report Assay//Transwell Assay		0.731059	Yes	Unknown	RID00426
LDA0004731	BBOX1-AS1	LncRNA	Homo sapiens	Strong evidence	RNA Pull-Down//Transfection//qRT-PCR//Luciferase Report Assay//Cell Apoptosis Assay		0.731059	Yes	Unknown	RID00426
LDA0004733	BCAR4	LncRNA	Homo sapiens	Strong evidence	RNA Pull-Down//Western Blot//qPCR//CCK8//Transwell Assay		0.731059	Yes	Yes	RID00436
LDA0004737	BCYRN1	LncRNA	Homo sapiens	Strong evidence	qRT-PCR//ChIP		0.731059	Yes	Unknown	RID00442
LDA0004738	BCYRN1	LncRNA	Homo sapiens	Strong evidence	CCK8//qRT-PCR//Transwell Assay//Western Blot		0.731059	Yes	Unknown	RID00442
LDA0004740	BCYRN1	LncRNA	Homo sapiens	Strong evidence	Western Blot//Transfection//Flow Cytometry//qRT-PCR//migration assay//Cell Proliferation Assay//Colony Formation Assay		0.731059	Yes	Yes	RID00442
LDA0004741	BCYRN1	LncRNA	Homo sapiens	Strong evidence	RNA Pull-Down//Western Blot//Transfection//CCK8//qRT-PCR//FISH//RIP//Luciferase Report Assay//Cell Cycle Assay//Colony Formation Assay//EdU Staining//ChIP		0.731059	Yes	Unknown	RID00442
LDA0004742	BCRC-3	LncRNA	Homo sapiens	Strong evidence	Flow Cytometry//IF//PCR//Western Blot		0.731059	Yes	Unknown	RID00441
LDA0004743	BCLIN25	LncRNA	Homo sapiens	Strong evidence	Western Blot//Tunel//Migration Assay//CCK8//qRT-PCR//Luciferase Report Assay//Invasion Assay		0.731059	Yes	Unknown	RID00440
LDA0004744	BCAR4	LncRNA	Homo sapiens	Strong evidence	CCK8//qRT-PCR//Colony Formation Assay//Flow Cytometry		0.731059	Yes	Unknown	RID00436
LDA0004745	BCAR4	LncRNA	Homo sapiens	Strong evidence	qRT-PCR//IHC//Transwell Assay		0.731059	Yes	Unknown	RID00436
LDA0004747	MANCR	LncRNA	Homo sapiens	Strong evidence	CCK8//qRT-PCR//Transwell Assay		0.731059	Yes	Unknown	RID03144
LDA0004748	MANCR	LncRNA	Homo sapiens	Strong evidence	Western Blot//Flow Cytometry//qRT-PCR//Luciferase Report Assay//Cell Proliferation Assay//Colony Formation Assay		0.731059	Yes	Unknown	RID03144
LDA0004750	SLC16A1-AS1	LncRNA	Homo sapiens	Strong evidence	In Vivo Experiment//Western Blot//Migration Assay//qRT-PCR//Luciferase Report Assay//Cell Viability Assay//Colony Formation Assay//Transwell Assay		0.731059	Yes	Yes	RID04460
LDA0004751	SLC16A1-AS1	LncRNA	Homo sapiens	Strong evidence	Western Blot//ISH//CCK8//qRT-PCR//Flow Cytometry//MTT//IHC		0.731059	Yes	Yes	RID04460
LDA0004752	SLC16A1-AS1	LncRNA	Homo sapiens	Strong evidence	RNA Pull-Down//Western Blot//Wound Healing Assay//CCK8//FISH//Flow Cytometry//Luciferase Report Assay//IHC//Transwell Assay		0.731059	Yes	Yes	RID04460
LDA0004755	SLC16A1-AS1	LncRNA	Homo sapiens	Strong evidence	Western Blot//Transfection//qRT-PCR//Luciferase Report Assay//Cell Proliferation Assay//Cell Cycle Assay		0.731059	Yes	Unknown	RID04460
LDA0004756	SLC25A21-AS1	LncRNA	Homo sapiens	Strong evidence	Transfection//Migration Assay//qRT-PCR//Luciferase Report Assay//Cell Proliferation Assay//Invasion Assay//Transwell Assay		0.731059	Yes	Yes	RID04463
LDA0004757	SLC16A1-AS1	LncRNA	Homo sapiens	Strong evidence	Western Blot//Transfection//CCK8//qRT-PCR//Luciferase Report Assay//Colony Formation Assay		0.731059	Yes	Yes	RID04460
LDA0004759	SH3PXD2A-AS1	LncRNA	Homo sapiens	Strong evidence	ISH//Wound Healing Assay//qRT-PCR//RIP//FISH//ChIP		0.731059	Yes	Yes	RID04447
LDA0004761	SGO1-AS1	LncRNA	Homo sapiens	Strong evidence	qRT-PCR		0.731059	Yes	Yes	RID04445
LDA0004762	SGO1-AS1	LncRNA	Homo sapiens	Strong evidence	In Vivo Experiment//RNA Pull-Down//Western Blot//ISH//Transfection//qRT-PCR//RIP//Luciferase Report Assay//Cell Proliferation Assay//ChIP		0.731059	Yes	Unknown	RID04445
LDA0004763	SGMS1-AS1	LncRNA	Homo sapiens	Strong evidence	qRT-PCR//Colony Formation Assay//Luciferase Report Assay//Migration Assay		0.731059	Yes	Yes	RID04444
LDA0004766	SLC25A21-AS1	LncRNA	Homo sapiens	Strong evidence	In Vivo Experiment//RNA Pull-Down//Western Blot//qRT-PCR//RIP//Luciferase Report Assay//ChIP		0.731059	Yes	Unknown	RID04463
LDA0004767	SFTA3	LncRNA	Homo sapiens	Strong evidence	Western Blot//Transfection//CCK8//RIP//Flow Cytometry//qRT-PCR//Luciferase Report Assay//H&E Staining//Cell Proliferation Assay//Cell Cycle Assay//EdU Staining		0.731059	Yes	Unknown	RID04442
LDA0004768	SLC44A3-AS1	LncRNA	Homo sapiens	Strong evidence	In Vivo Experiment//Western Blot//ISH//Transfection//Flow Cytometry//qRT-PCR//RIP//Cell Proliferation Assay//cell invasion assay//IHC//IF		0.731059	Yes	Unknown	RID04483
LDA0004769	SLCO4A1	LncRNA	Homo sapiens	Strong evidence	In Vivo Experiment//Western Blot//Transfection//Wound Healing Assay//Tunel//qRT-PCR//Luciferase Report Assay//H&E Staining//ELISA		0.731059	Yes	Unknown	RID04492
LDA0004771	SLCC1	LncRNA	Homo sapiens	Strong evidence	qRT-PCR//RNA Pull-Down		0.731059	Yes	Yes	RID04491
LDA0004772	SLC9A3-AS1	LncRNA	Homo sapiens	Strong evidence	CCK8//qRT-PCR		0.731059	Yes	Yes	RID04489
LDA0004773	SLC8A1-AS1	LncRNA	Homo sapiens	Strong evidence	In Vivo Experiment//Western Blot//Wound Healing Assay//Migration Assay//qRT-PCR//Cell Cycle Assay//Colony Formation Assay//Invasion Assay		0.731059	Yes	Unknown	RID04487
LDA0004774	SLC8A1-AS1	LncRNA	Homo sapiens	Strong evidence	Western Blot//Wound Healing Assay//qPCR//CCK8//RIP//Cell Apoptosis Assay//Transwell Assay		0.731059	Yes	Unknown	RID04487
LDA0004775	SLC7A11-AS1	LncRNA	Homo sapiens	Strong evidence	RNA Pull-Down//CCK8//qRT-PCR//Luciferase Report Assay//Transwell Assay		0.731059	Yes	Yes	RID04485
LDA0004776	SLC30A10	LncRNA	Homo sapiens	Strong evidence	CCK8//qRT-PCR//Luciferase Report Assay//Transwell Assay		0.731059	Yes	Yes	RID04475
LDA0004777	SLC25A21-AS1	LncRNA	Homo sapiens	Strong evidence	CCK8//qRT-PCR		0.731059	Yes	Unknown	RID04463
LDA0004778	SLC2A1-DT	LncRNA	Homo sapiens	Strong evidence	Transwell Assay//ISH//CCK8//qRT-PCR//Luciferase Report Assay//Colony Formation Assay//ChIP		0.731059	Yes	Yes	RID04474
LDA0004779	SLC26A4-AS1	LncRNA	Homo sapiens	Strong evidence	qRT-PCR		0.731059	Yes	Unknown	RID04473
LDA0004780	SLC26A4-AS1	LncRNA	Homo sapiens	Strong evidence	RNA Pull-Down//Western Blot//Co-IP//qRT-PCR//RIP//IF//Transwell Assay		0.731059	Yes	Yes	RID04473
LDA0004781	SLC26A4	LncRNA	Homo sapiens	Strong evidence	Transfection//qPCR//RIP//PCR//IP		0.731059	Yes	Unknown	RID04472
LDA0004782	SLC25A5-AS1	LncRNA	Homo sapiens	Strong evidence	CCK8//qRT-PCR//Luciferase Report Assay//Western Blot		0.731059	Yes	Yes	RID04469
LDA0004783	SLC25A25-AS1	LncRNA	Homo sapiens	Strong evidence	qRT-PCR		0.731059	Yes	Unknown	RID04464
LDA0004784	SLC25A25-AS1	LncRNA	Homo sapiens	Strong evidence	Western Blot//CCK8//qRT-PCR//RIP//Luciferase Report Assay		0.731059	Yes	Yes	RID04464
LDA0004786	SLCO4A1-AS1	LncRNA	Homo sapiens	Strong evidence	qRT-PCR//Transfection		0.731059	Yes	Unknown	RID04493
LDA0004790	SDPR-AS	LncRNA	Homo sapiens	Strong evidence	Western Blot//CCK8//qRT-PCR//Flow Cytometry//Transwell Assay		0.731059	Yes	Unknown	RID04419
LDA0004793	SDCBP-AS1	LncRNA	Homo sapiens	Strong evidence	RNA Pull-Down//Western Blot//Wound Healing Assay//Migration Assay//CCK8//qRT-PCR//RIP//Luciferase Report Assay//Colony Formation Assay//Invasion Assay//IF		0.731059	Yes	Yes	RID04415
LDA0004794	SDCBP2-AS1	LncRNA	Homo sapiens	Strong evidence	Western Blot//Flow Cytometry//qRT-PCR//RIP//MTT//Luciferase Report Assay//Transwell Assay		0.731059	Yes	Unknown	RID04416
LDA0004797	SEMA3B	LncRNA	Homo sapiens	Strong evidence	Western Blot//Transfection//qRT-PCR//Luciferase Report Assay//BrdU		0.731059	Yes	Unknown	RID04425
LDA0004800	SCIRT	LncRNA	Homo sapiens	Strong evidence	qRT-PCR		0.731059	Yes	Unknown	RID04409
LDA0004801	SCIRT	LncRNA	Homo sapiens	Strong evidence	qRT-PCR//RNA Pull-Down		0.731059	Yes	Unknown	RID04409
LDA0004802	SCIRT	LncRNA	Homo sapiens	Strong evidence	Western Blot//Transfection//CCK8//qRT-PCR//Colony Formation Assay//Invasion Assay//Transwell Assay		0.731059	Yes	Yes	RID04409
LDA0004803	SCIRT	LncRNA	Homo sapiens	Strong evidence	BrdU//qRT-PCR//Transfection//RNA Pull-Down		0.731059	Yes	Unknown	RID04409
LDA0004804	SCHLAP1	LncRNA	Homo sapiens	Strong evidence	RNA Pull-Down//IHC//ISH//Co-IP//qRT-PCR//RIP//Luciferase Report Assay//Colony Formation Assay		0.731059	Yes	Unknown	RID04408
LDA0004805	SCHLAP1	LncRNA	Homo sapiens	Strong evidence	Western Blot//CCK8//qRT-PCR//Luciferase Report Assay//Cell Apoptosis Assay//Colony Formation Assay		0.731059	Yes	Yes	RID04408
LDA0004806	SEMA3B	LncRNA	Homo sapiens	Strong evidence	qRT-PCR//IHC//RNA Pull-Down//Western Blot		0.731059	Yes	Unknown	RID04425
LDA0004807	SEMA3B-AS1	LncRNA	Homo sapiens	Strong evidence	qRT-PCR		0.731059	Yes	Unknown	RID04426
LDA0004809	SFTA1P	LncRNA	Homo sapiens	Strong evidence	qRT-PCR//Luciferase Report Assay//Western Blot		0.731059	Yes	Yes	RID04441
LDA0004810	SFTA1P	LncRNA	Homo sapiens	Strong evidence	In Vivo Experiment//Western Blot//Transfection//Wound Healing Assay//Migration Assay//qRT-PCR//RIP//Cell Proliferation Assay//Cell Cycle Assay//Colony Formation Assay//Invasion Assay		0.731059	Yes	Yes	RID04441
LDA0004811	SFTA1P	LncRNA	Homo sapiens	Strong evidence	In Vivo Experiment//Western Blot//Wound Healing Assay//CCK8//qRT-PCR		0.731059	Yes	Yes	RID04441
LDA0004813	SERPINE2	LncRNA	Homo sapiens	Strong evidence	RNA Pull-Down//Western Blot//qRT-PCR//Luciferase Report Assay//EdU Staining		0.731059	Yes	Unknown	RID04436
LDA0004814	SERPINE2	LncRNA	Homo sapiens	Strong evidence	colony Formation Assay//RNA Pull-Down//Western Blot//Transfection//qPCR//RIP//Cell Apoptosis Assay//PCR//IP//Colony Formation Assay//IF		0.731059	Yes	Unknown	RID04436
LDA0004815	SERPINB9P1	LncRNA	Homo sapiens	Strong evidence	qRT-PCR//Genotyping		0.731059	Yes	Unknown	RID04435
LDA0004818	SEMA3B-AS1	LncRNA	Homo sapiens	Strong evidence	qRT-PCR//Western Blot		0.731059	Yes	Unknown	RID04426
LDA0004820	SENCR	LncRNA	Homo sapiens	Strong evidence	In Vivo Experiment//qRT-PCR//Transfection//Western Blot		0.731059	Yes	Unknown	RID04429
LDA0004821	SENCR	LncRNA	Homo sapiens	Strong evidence	qRT-PCR		0.731059	Yes	Unknown	RID04429
LDA0004824	SEMA3B-AS1	LncRNA	Homo sapiens	Strong evidence	RNA Pull-Down//Western Blot//Wound Healing Assay//Migration Assay//CCK8//qRT-PCR//FISH//RIP//Luciferase Report Assay//Colony Formation Assay//Invasion Assay//Transwell Assay		0.731059	Yes	Yes	RID04426
LDA0004825	SEMA3B-AS1	LncRNA	Homo sapiens	Strong evidence	Western Blot//Transwell Assay//CCK8//qRT-PCR//FISH//Flow Cytometry//RIP//Luciferase Report Assay//Colony Formation Assay//EdU Staining//ChIP		0.731059	Yes	Yes	RID04426
LDA0004826	SEMA3B-AS1	LncRNA	Homo sapiens	Strong evidence	Western Blot//CCK8//qRT-PCR//Luciferase Report Assay//ChIP		0.731059	Yes	Yes	RID04426
LDA0004827	SLCO4A1-AS1	LncRNA	Homo sapiens	Strong evidence	RNA Pull-Down//Western Blot//Transfection//Tunel//CCK8//qRT-PCR//Flow Cytometry//Luciferase Report Assay//EdU Staining		0.731059	Yes	Unknown	RID04493
LDA0004828	SLCO4A1-AS1	LncRNA	Homo sapiens	Strong evidence	qRT-PCR		0.731059	Yes	Unknown	RID04493
LDA0004831	SNHG1	LncRNA	Homo sapiens	Strong evidence	qRT-PCR		0.731059	Yes	Unknown	RID04533
LDA0004834	SNHG1	LncRNA	Homo sapiens	Strong evidence	RNA Pull-Down//Western Blot//Transfection//Migration Assay//CCK8//qRT-PCR//RIP//Cell Cycle Assay//Invasion Assay//IF		0.731059	Yes	Unknown	RID04533
LDA0004836	SNHG1	LncRNA	Homo sapiens	Strong evidence	Migration Assay//Transection//qRT-PCR//CCK8//Luciferase Report Assay//EdU Staining//Transwell Assay		0.731059	Yes	Yes	RID04533
LDA0004841	SNGH3	LncRNA	Homo sapiens	Strong evidence	qRT-PCR//ELISA		0.731059	Yes	Yes	RID04532
LDA0004842	SNG16	LncRNA	Homo sapiens	Strong evidence	qRT-PCR//Luciferase Report Assay//RNA Pull-Down//Western Blot		0.731059	Yes	Unknown	RID04530
LDA0004845	SND1-IT1	LncRNA	Homo sapiens	Strong evidence	RNA Pull-Down//Western Blot//Wound Healing Assay//CCK8//qRT-PCR//Luciferase Report Assay//Colony Formation Assay//Transwell Assay		0.731059	Yes	Unknown	RID04529
LDA0004847	SNHG1	LncRNA	Homo sapiens	Strong evidence	In Vivo Experiment//Western Blot//qRT-PCR//MTT//Luciferase Report Assay//ELISA		0.731059	Yes	Unknown	RID04533
LDA0004848	SNHG1	LncRNA	Homo sapiens	Strong evidence	qRT-PCR		0.731059	Yes	Unknown	RID04533
LDA0004849	snaR	LncRNA	Homo sapiens	Strong evidence	qRT-PCR		0.731059	Yes	Yes	RID16774
LDA0004854	SNHG1	LncRNA	Homo sapiens	Strong evidence	Western Blot//Transfection//Tunel//qRT-PCR//MTT//Luciferase Report Assay		0.731059	Yes	Unknown	RID04533
LDA0004855	SNHG1	LncRNA	Homo sapiens	Strong evidence	RNA Pull-Down//Western Blot//Transfection//qRT-PCR//Luciferase Report Assay//Transwell Assay		0.731059	Yes	Unknown	RID04533
LDA0004858	SNHG1	LncRNA	Homo sapiens	Strong evidence	qRT-PCR		0.731059	Yes	Unknown	RID04533
LDA0004859	SNHG1	LncRNA	Homo sapiens	Strong evidence	CCK8//qRT-PCR//Western Blot		0.731059	Yes	Yes	RID04533
LDA0004860	SNHG1	LncRNA	Homo sapiens	Strong evidence	Western Blot//Flow Cytometry//qRT-PCR//MTT//Luciferase Report Assay		0.731059	Yes	Unknown	RID04533
LDA0004861	snaR	LncRNA	Homo sapiens	Strong evidence	CCK8//qRT-PCR		0.731059	Yes	Unknown	RID16774
LDA0004862	snaR	LncRNA	Homo sapiens	Strong evidence	CCK8//qRT-PCR//Western Blot		0.731059	Yes	Yes	RID16774
LDA0004863	SLCO4A1-AS1	LncRNA	Homo sapiens	Strong evidence	CCK8//qRT-PCR//Transwell Assay		0.731059	Yes	Yes	RID04493
LDA0004864	SMARCA5	LncRNA	Homo sapiens	Strong evidence	qRT-PCR		0.731059	Yes	Yes	RID04505
LDA0004867	SMASR	LncRNA	Homo sapiens	Strong evidence	RNA Pull-Down//Northern Blot//Western Blot//FISH//qRT-PCR//Luciferase Report Assay//IF		0.731059	Yes	Unknown	RID04508
LDA0004869	SMARCA5	LncRNA	Homo sapiens	Strong evidence	qRT-PCR//IF//PCR//Western Blot		0.731059	Yes	Unknown	RID04505
LDA0004871	SMARCA5	LncRNA	Homo sapiens	Strong evidence	qPCR//PCR//IF		0.731059	Yes	Unknown	RID04505
LDA0004872	SMARCA5	LncRNA	Homo sapiens	Strong evidence	RNA Pull-Down//Western Blot//Transfection//qPCR//Proliferation Assay//Cell Proliferation Assay//Cell Apoptosis Assay//PCR//cell invasion assay//IP//Invasion Assay//IF		0.731059	Yes	Unknown	RID04505
LDA0004873	SMAD7	LncRNA	Homo sapiens	Strong evidence	qRT-PCR//MTT//Colony Formation Assay//Transwell Assay		0.731059	Yes	Unknown	RID04503
LDA0004876	SLNCR1	LncRNA	Homo sapiens	Strong evidence	Western Blot//qRT-PCR//ELISA//Invasion Assay//Transwell Assay		0.731059	Yes	Yes	RID04497
LDA0004879	SLCO4A1-AS1	LncRNA	Homo sapiens	Strong evidence	qRT-PCR//FISH		0.731059	Yes	Unknown	RID04493
LDA0004882	snaR	LncRNA	Homo sapiens	Strong evidence	qRT-PCR//ELISA//Western Blot		0.731059	Yes	Unknown	RID16774
LDA0004883	SMIM31	LncRNA	Homo sapiens	Strong evidence	CCK8//qRT-PCR//Luciferase Report Assay//RIP		0.731059	Yes	Unknown	RID04521
LDA0004884	snaR	LncRNA	Homo sapiens	Strong evidence	cell invasion assay//qRT-PCR//Transfection//MTT		0.731059	Yes	Unknown	RID16774
LDA0004886	SNAI3-AS1	LncRNA	Homo sapiens	Strong evidence	Western Blot//Wound Healing Assay//qRT-PCR//MTT//Luciferase Report Assay//Transwell Assay		0.731059	Yes	Unknown	RID04526
LDA0004888	SMO-193a	LncRNA	Homo sapiens	Strong evidence	Northern Blot//TUNEL//ISH//Transfection//Immunoblotting//Tunel//Proliferation Assay//qRT-PCR//FISH//IF//PCR//IP//IHC//ChIP		0.731059	Yes	Yes	RID04524
LDA0004889	SMO	LncRNA	Homo sapiens	Strong evidence	Western Blot//qRT-PCR//MTT//PCR//IF		0.731059	Yes	Unknown	RID04523
LDA0004890	SMIM45	LncRNA	Homo sapiens	Strong evidence	CCK8//qRT-PCR//Luciferase Report Assay//Flow Cytometry		0.731059	Yes	Unknown	RID04522
LDA0004891	SMIM31	LncRNA	Homo sapiens	Strong evidence	qRT-PCR//Western Blot		0.731059	Yes	Unknown	RID04521
LDA0004892	SMIM31	LncRNA	Homo sapiens	Strong evidence	RNA Pull-Down//Western Blot//Flow Cytometry//qRT-PCR//RIP//MTT//Luciferase Report Assay		0.731059	Yes	Unknown	RID04521
LDA0004895	SMIM30	LncRNA	Homo sapiens	Strong evidence	CCK8//qRT-PCR		0.731059	Yes	Unknown	RID04520
LDA0004896	SMIM30	LncRNA	Homo sapiens	Strong evidence	RNA Pull-Down//Western Blot//FISH//qRT-PCR//RIP//Luciferase Report Assay//IF		0.731059	Yes	Unknown	RID04520
LDA0004898	SMIM27	LncRNA	Homo sapiens	Strong evidence	qRT-PCR//RIP//IP//Colony Formation Assay//ChIP		0.731059	Yes	Yes	RID04519
LDA0004900	SMILR	LncRNA	Homo sapiens	Strong evidence	Wound Healing Assay//CCK8//qRT-PCR//Flow Cytometry//RIP//MTT//Luciferase Report Assay		0.731059	Yes	Unknown	RID04517
LDA0004901	SCHLAP1	LncRNA	Homo sapiens	Strong evidence	In Vivo Experiment//RNA Pull-Down//Western Blot//CCK8//qRT-PCR//Flow Cytometry//RIP//EdU Staining//Transwell Assay		0.731059	Yes	Unknown	RID04408
LDA0004902	SCARNA2	LncRNA	Homo sapiens	Strong evidence	CCK8//qRT-PCR//Flow Cytometry//Transwell Assay		0.731059	Yes	Unknown	RID04402
LDA0004905	RP9P	LncRNA	Homo sapiens	Strong evidence	CCK8//IHC//Luciferase Report Assay//Western Blot		0.731059	Yes	Unknown	RID04285
LDA0004909	RP5-916L7.2	LncRNA	Homo sapiens	Strong evidence	qPCR//CCK8//FISH//Luciferase Report Assay//Colony Formation Assay		0.731059	Yes	Yes	RID04277
LDA0004912	RP5-881L22.5	LncRNA	Homo sapiens	Strong evidence	qRT-PCR//Transwell Assay		0.731059	Yes	Unknown	RID04275
LDA0004913	RP5-1120P11.3	LncRNA	Homo sapiens	Strong evidence	Western Blot//CCK8//qRT-PCR//Luciferase Report Assay//EdU Staining		0.731059	Yes	Unknown	RID04271
LDA0004915	RP4-773N10.4	LncRNA	Homo sapiens	Strong evidence	qRT-PCR//FISH		0.731059	Yes	Unknown	RID04265
LDA0004916	RP4-758J18.10	LncRNA	Homo sapiens	Strong evidence	qRT-PCR//FISH		0.731059	Yes	Unknown	RID04264
LDA0004917	RP4-694A7.2	LncRNA	Homo sapiens	Strong evidence	Transwell Assay//qRT-PCR//Colony Formation Assay//FISH		0.731059	Yes	Unknown	RID04263
