Gene ID	Symbol	Conservation (age)	Expression Capacity	Featured Expression	Featured Methylation	Variation (disease/trait-association)	Interaction	Small Protein
HSALNG0053933	-	11. Boreoeutheria	NE	-	-	yes	-	-
HSALNG0054292	-	7. Simiiformes	NE	-	-	yes	-	-
HSALNG0054656	-	6. Catarrhini	MC	-	-	yes	-	-
HSALNG0055352	-	13. Theria	MC	-	-	yes	-	-
HSALNG0055694	-	16. Tetrapoda	NE	-	-	yes	-	yes
HSALNG0149615	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0056873	-	15. Amniota	HC	-	-	yes	-	-
HSALNG0058381	-	1. Homo	LC	-	yes	yes	-	-
HSALNG0149698	-	12. Eutheria	MC	yes	-	yes	-	-
HSALNG0059117	-	12. Eutheria	MC	-	yes	yes	-	-
HSALNG0059938	-	9. Primates	MC	-	yes	yes	-	-
HSALNG0060745	-	13. Theria	MC	-	-	yes	-	-
HSALNG0061152	-	13. Theria	MC	-	-	yes	-	-
HSALNG0061501	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0062653	-	7. Simiiformes	LC	-	-	yes	-	-
HSALNG0062963	-	17. Euteleostomi	LC	-	-	yes	-	-
HSALNG0064875	-	11. Boreoeutheria	HC	-	-	yes	-	-
HSALNG0066141	-	12. Eutheria	MC	-	yes	yes	-	-
HSALNG0067058	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0067433	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0067829	-	12. Eutheria	NE	-	yes	yes	-	-
HSALNG0069052	-	13. Theria	HC	-	-	yes	-	yes
HSALNG0150774	-	14. Mammalia	LC	-	-	yes	-	-
HSALNG0070978	-	15. Amniota	HC	yes	-	yes	-	-
HSALNG0150643	-	13. Theria	HC	-	yes	yes	-	-
HSALNG0072439	-	13. Theria	MC	yes	-	yes	-	-
HSALNG0073171	-	12. Eutheria	MC	yes	-	yes	-	-
HSALNG0073534	-	14. Mammalia	MC	-	-	yes	-	-
HSALNG0073913	-	13. Theria	LC	-	-	yes	-	-
HSALNG0074632	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0074989	-	1. Homo	MC	-	-	yes	-	-
HSALNG0075637	-	3. Homininae	MC	-	-	yes	-	-
HSALNG0076312	-	11. Boreoeutheria	HC	yes	-	yes	-	-
HSALNG0078252	-	11. Boreoeutheria	MC	-	-	yes	-	-
HSALNG0079336	-	11. Boreoeutheria	MC	-	-	yes	-	-
HSALNG0080121	-	12. Eutheria	MC	yes	yes	yes	-	-
HSALNG0080470	-	13. Theria	MC	-	-	yes	-	-
HSALNG0142868	-	12. Eutheria	LC	-	yes	yes	-	-
HSALNG0081201	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0081518	-	15. Amniota	MC	-	-	yes	-	-
HSALNG0082249	-	10. Euarchontoglires	HC	-	yes	yes	-	-
HSALNG0082640	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0083385	-	13. Theria	MC	-	-	yes	-	-
HSALNG0083768	-	12. Eutheria	NE	-	-	yes	-	-
HSALNG0084152	-	2. Hominini	MC	-	yes	yes	-	-
HSALNG0084958	-	17. Euteleostomi	NE	-	-	yes	-	yes
HSALNG0085719	-	13. Theria	HC	-	-	yes	yes	-
HSALNG0143051	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0087018	-	12. Eutheria	HC	yes	-	yes	-	-
HSALNG0088588	-	12. Eutheria	HC	yes	-	yes	-	-
HSALNG0089312	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0089739	-	12. Eutheria	HC	yes	-	yes	-	-
HSALNG0090155	-	11. Boreoeutheria	MC	-	-	yes	-	-
HSALNG0143618	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0091366	-	14. Mammalia	MC	yes	yes	yes	-	-
HSALNG0092178	-	12. Eutheria	MC	yes	-	yes	-	-
HSALNG0093038	-	14. Mammalia	MC	-	-	yes	-	-
HSALNG0093408	-	12. Eutheria	MC	-	yes	yes	-	-
HSALNG0093790	-	6. Catarrhini	MC	-	-	yes	-	-
HSALNG0143517	-	15. Amniota	MC	-	yes	yes	-	-
HSALNG0094863	-	11. Boreoeutheria	HC	yes	-	yes	-	-
HSALNG0096223	-	11. Boreoeutheria	MC	-	-	yes	-	-
HSALNG0096625	-	14. Mammalia	MC	-	yes	yes	-	-
HSALNG0098638	-	12. Eutheria	HC	yes	yes	yes	-	-
HSALNG0143899	-	12. Eutheria	MC	yes	-	yes	-	-
HSALNG0099404	-	15. Amniota	HC	-	-	yes	-	-
HSALNG0099758	-	3. Homininae	MC	-	-	yes	-	-
HSALNG0144066	-	13. Theria	MC	-	-	yes	-	-
HSALNG0101016	-	12. Eutheria	HC	-	yes	yes	-	-
HSALNG0003221	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0101845	-	16. Tetrapoda	LC	-	-	yes	-	-
HSALNG0003955	-	12. Eutheria	HC	yes	-	yes	-	-
HSALNG0102251	-	17. Euteleostomi	NE	-	-	yes	-	yes
HSALNG0004308	-	11. Boreoeutheria	MC	-	-	yes	-	-
HSALNG0103051	-	12. Eutheria	NE	-	-	yes	-	-
HSALNG0005897	-	16. Tetrapoda	MC	yes	-	yes	-	-
HSALNG0104204	-	11. Boreoeutheria	NE	-	-	yes	-	yes
HSALNG0141872	-	1. Homo	MC	yes	yes	yes	-	-
HSALNG0105304	-	15. Amniota	HC	-	-	yes	-	-
HSALNG0105718	-	13. Theria	MC	-	-	yes	-	-
HSALNG0008130	-	13. Theria	HC	yes	-	yes	-	-
HSALNG0008519	-	1. Homo	HC	-	-	yes	yes	-
HSALNG0009729	-	13. Theria	MC	-	-	yes	-	-
HSALNG0010126	-	12. Eutheria	HC	yes	-	yes	-	-
HSALNG0108317	-	11. Boreoeutheria	LC	-	-	yes	-	-
HSALNG0010507	-	12. Eutheria	MC	-	yes	yes	-	-
HSALNG0109008	-	13. Theria	HC	-	-	yes	-	yes
HSALNG0109361	-	5. Hominoidea	NE	-	yes	yes	-	-
HSALNG0011625	-	13. Theria	MC	-	-	yes	yes	-
HSALNG0110097	-	14. Mammalia	NE	-	yes	yes	-	yes
HSALNG0012360	-	10. Euarchontoglires	MC	-	yes	yes	-	-
HSALNG0110459	-	14. Mammalia	NE	-	-	yes	-	-
HSALNG0013000	-	12. Eutheria	MC	yes	-	yes	-	-
HSALNG0111606	-	15. Amniota	HC	-	-	yes	-	-
HSALNG0014069	-	12. Eutheria	NE	-	-	yes	-	-
HSALNG0113148	-	15. Amniota	HC	-	yes	yes	-	-
HSALNG0015131	-	13. Theria	MC	-	yes	yes	-	-
HSALNG0015539	-	17. Euteleostomi	NE	-	-	yes	-	-
HSALNG0016308	-	14. Mammalia	MC	-	-	yes	-	-
HSALNG0114961	-	15. Amniota	HC	-	-	yes	-	-
HSALNG0017168	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0115373	-	11. Boreoeutheria	MC	-	-	yes	-	-
HSALNG0017531	-	14. Mammalia	MC	-	-	yes	-	-
HSALNG0115719	-	4. Hominidae	MC	-	-	yes	-	-
HSALNG0017901	-	17. Euteleostomi	LC	-	-	yes	-	yes
HSALNG0018326	-	10. Euarchontoglires	MC	-	-	yes	-	-
HSALNG0116452	-	16. Tetrapoda	NE	-	-	yes	-	yes
HSALNG0116814	-	1. Homo	HC	yes	-	yes	-	-
HSALNG0019073	-	13. Theria	MC	-	-	yes	-	-
HSALNG0117142	-	12. Eutheria	MC	-	yes	yes	-	yes
HSALNG0019459	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0117567	-	12. Eutheria	MC	yes	-	yes	-	-
HSALNG0019809	-	14. Mammalia	MC	-	-	yes	-	-
HSALNG0117954	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0118329	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0020597	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0020965	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0119062	-	8. Haplorrhini	LC	-	yes	yes	-	-
HSALNG0119727	-	14. Mammalia	MC	-	-	yes	-	-
HSALNG0022612	-	7. Simiiformes	HC	yes	-	yes	-	-
HSALNG0121573	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0024094	-	10. Euarchontoglires	HC	-	yes	yes	-	-
HSALNG0122327	-	6. Catarrhini	LC	-	-	yes	-	-
HSALNG0024856	-	13. Theria	MC	-	yes	yes	-	-
HSALNG0122655	-	13. Theria	LC	-	-	yes	-	-
HSALNG0025244	-	12. Eutheria	MC	-	yes	yes	-	-
HSALNG0123716	-	12. Eutheria	MC	-	-	yes	-	yes
HSALNG0026440	-	13. Theria	MC	-	-	yes	-	-
HSALNG0124136	-	17. Euteleostomi	MC	-	-	yes	-	yes
HSALNG0027173	-	14. Mammalia	LC	-	-	yes	-	-
HSALNG0147575	-	12. Eutheria	HC	-	-	yes	-	-
HSALNG0027984	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0028346	-	12. Eutheria	MC	yes	-	yes	-	-
HSALNG0145927	-	17. Euteleostomi	MC	-	-	yes	yes	yes
HSALNG0145955	-	13. Theria	HC	-	-	yes	-	yes
HSALNG0030384	-	11. Boreoeutheria	MC	-	yes	yes	-	-
HSALNG0147703	-	12. Eutheria	HC	-	-	yes	-	-
HSALNG0128697	-	11. Boreoeutheria	LC	-	-	yes	-	-
HSALNG0129409	-	10. Euarchontoglires	NE	-	-	yes	-	-
HSALNG0129746	-	17. Euteleostomi	HC	-	-	yes	-	-
HSALNG0130144	-	11. Boreoeutheria	MC	-	-	yes	-	-
HSALNG0033036	-	13. Theria	LC	-	-	yes	-	-
HSALNG0033376	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0033775	-	12. Eutheria	LC	-	-	yes	-	-
HSALNG0131259	-	6. Catarrhini	HC	-	-	yes	-	-
HSALNG0034178	-	13. Theria	LC	-	-	yes	-	-
HSALNG0131584	-	16. Tetrapoda	HC	-	-	yes	-	-
HSALNG0035013	-	11. Boreoeutheria	LC	-	-	yes	-	-
HSALNG0132231	-	11. Boreoeutheria	MC	yes	-	yes	-	-
HSALNG0035780	-	12. Eutheria	LC	-	-	yes	-	-
HSALNG0132928	-	11. Boreoeutheria	MC	-	-	yes	-	-
HSALNG0036122	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0036559	-	12. Eutheria	MC	yes	-	yes	-	-
HSALNG0036959	-	12. Eutheria	MC	yes	yes	yes	-	-
HSALNG0148222	-	12. Eutheria	HC	-	-	yes	-	-
HSALNG0038934	-	13. Theria	MC	-	-	yes	-	-
HSALNG0039292	-	6. Catarrhini	LC	-	-	yes	-	-
HSALNG0136489	-	14. Mammalia	LC	-	yes	yes	-	-
HSALNG0136863	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0137255	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0040927	-	15. Amniota	MC	yes	-	yes	-	-
HSALNG0137656	-	11. Boreoeutheria	MC	-	-	yes	-	-
HSALNG0041324	-	13. Theria	MC	-	-	yes	-	-
HSALNG0138119	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0042143	-	16. Tetrapoda	MC	-	-	yes	-	yes
HSALNG0042891	-	12. Eutheria	HC	yes	-	yes	-	-
HSALNG0043746	-	13. Theria	HC	yes	-	yes	yes	-
HSALNG0044595	-	13. Theria	HC	-	yes	yes	-	-
HSALNG0045724	-	13. Theria	MC	-	yes	yes	-	yes
HSALNG0046490	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0046816	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0048103	-	14. Mammalia	MC	-	-	yes	-	-
HSALNG0049143	-	3. Homininae	NE	-	-	yes	-	-
HSALNG0049519	-	12. Eutheria	NE	-	-	yes	-	-
HSALNG0050631	-	10. Euarchontoglires	MC	yes	-	yes	-	-
HSALNG0051074	-	13. Theria	MC	yes	-	yes	yes	-
HSALNG0052768	-	12. Eutheria	NE	-	-	yes	-	-
HSALNG0053935	-	15. Amniota	LC	-	-	yes	-	-
HSALNG0055353	-	13. Theria	MC	yes	-	yes	-	-
HSALNG0149605	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0056874	-	12. Eutheria	HC	yes	-	yes	-	-
HSALNG0057580	-	7. Simiiformes	MC	-	-	yes	-	-
HSALNG0058383	-	14. Mammalia	NE	-	yes	yes	-	-
HSALNG0059118	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0059939	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0061153	-	15. Amniota	LC	-	-	yes	-	yes
HSALNG0061502	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0062307	-	10. Euarchontoglires	MC	-	-	yes	-	-
HSALNG0063363	-	12. Eutheria	HC	-	-	yes	-	-
HSALNG0064111	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0064495	-	11. Boreoeutheria	LC	-	yes	yes	-	-
HSALNG0064876	-	12. Eutheria	HC	yes	-	yes	-	yes
HSALNG0065318	-	11. Boreoeutheria	MC	-	-	yes	-	-
HSALNG0066626	-	13. Theria	MC	-	-	yes	-	-
HSALNG0067060	-	12. Eutheria	MC	yes	-	yes	-	yes
HSALNG0067436	-	11. Boreoeutheria	MC	-	-	yes	-	-
HSALNG0067835	-	12. Eutheria	MC	-	yes	yes	-	-
HSALNG0068663	-	7. Simiiformes	MC	yes	-	yes	-	-
HSALNG0069054	-	1. Homo	HC	yes	-	yes	-	-
HSALNG0069380	-	1. Homo	HC	-	-	yes	-	-
HSALNG0070563	-	13. Theria	LC	-	yes	yes	-	-
HSALNG0071675	-	14. Mammalia	LC	-	yes	yes	-	-
HSALNG0072081	-	14. Mammalia	HC	yes	-	yes	-	-
HSALNG0073914	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0074990	-	1. Homo	HC	-	-	yes	-	-
HSALNG0075333	-	12. Eutheria	HC	yes	-	yes	-	yes
HSALNG0142741	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0078253	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0079729	-	13. Theria	HC	yes	yes	yes	-	-
HSALNG0080471	-	14. Mammalia	HC	yes	yes	yes	-	-
HSALNG0080837	-	12. Eutheria	LC	-	-	yes	-	-
HSALNG0081202	-	13. Theria	HC	yes	-	yes	-	-
HSALNG0082251	-	11. Boreoeutheria	HC	-	-	yes	-	-
HSALNG0083386	-	12. Eutheria	MC	yes	yes	yes	-	-
HSALNG0083769	-	12. Eutheria	LC	-	-	yes	-	-
HSALNG0084960	-	12. Eutheria	HC	yes	yes	yes	-	-
HSALNG0085341	-	15. Amniota	HC	-	-	yes	-	-
HSALNG0085720	-	12. Eutheria	MC	-	-	yes	yes	-
HSALNG0086113	-	13. Theria	MC	-	-	yes	-	-
HSALNG0088245	-	13. Theria	MC	-	-	yes	-	yes
HSALNG0088589	-	13. Theria	HC	yes	-	yes	-	-
HSALNG0088932	-	12. Eutheria	HC	-	-	yes	-	-
HSALNG0089740	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0090157	-	17. Euteleostomi	HC	yes	-	yes	yes	-
HSALNG0090542	-	11. Boreoeutheria	MC	-	-	yes	-	-
HSALNG0143442	-	11. Boreoeutheria	HC	-	-	yes	-	-
HSALNG0092588	-	13. Theria	HC	yes	yes	yes	-	-
HSALNG0143693	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0143734	-	6. Catarrhini	MC	-	-	yes	-	-
HSALNG0094520	-	12. Eutheria	MC	-	yes	yes	-	-
HSALNG0094864	-	2. Hominini	MC	yes	-	yes	-	-
HSALNG0096224	-	11. Boreoeutheria	NE	-	-	yes	-	-
HSALNG0096979	-	12. Eutheria	NE	-	-	yes	-	-
HSALNG0097371	-	4. Hominidae	HC	yes	-	yes	-	-
HSALNG0000037	-	3. Homininae	MC	-	-	yes	-	-
HSALNG0141656	-	16. Tetrapoda	MC	-	yes	yes	-	-
HSALNG0098183	-	15. Amniota	MC	-	-	yes	-	-
HSALNG0000718	-	1. Homo	MC	-	-	yes	-	-
HSALNG0001046	-	14. Mammalia	HC	yes	yes	yes	-	-
HSALNG0099031	-	13. Theria	NE	-	-	yes	-	-
HSALNG0001751	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0144053	-	13. Theria	LC	-	-	yes	-	-
HSALNG0002827	-	13. Theria	HC	-	-	yes	-	-
HSALNG0003222	-	12. Eutheria	LC	-	-	yes	-	-
HSALNG0101847	-	12. Eutheria	MC	yes	-	yes	-	yes
HSALNG0144115	-	1. Homo	LC	-	-	yes	-	-
HSALNG0004309	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0004701	-	16. Tetrapoda	MC	-	yes	yes	-	-
HSALNG0103052	-	12. Eutheria	MC	yes	-	yes	-	-
HSALNG0005114	-	17. Euteleostomi	LC	-	-	yes	-	-
HSALNG0103835	-	6. Catarrhini	HC	-	-	yes	-	-
HSALNG0005900	-	12. Eutheria	NE	-	-	yes	-	-
HSALNG0104917	-	16. Tetrapoda	MC	-	-	yes	-	-
HSALNG0007360	-	15. Amniota	MC	-	-	yes	-	-
HSALNG0105719	-	13. Theria	MC	-	-	yes	-	-
HSALNG0141953	-	12. Eutheria	HC	-	-	yes	-	-
HSALNG0107979	-	13. Theria	HC	-	-	yes	-	-
HSALNG0010127	-	11. Boreoeutheria	NE	-	-	yes	-	-
HSALNG0108318	-	13. Theria	NE	-	-	yes	-	-
HSALNG0010509	-	14. Mammalia	MC	-	-	yes	-	-
HSALNG0010897	-	11. Boreoeutheria	HC	yes	-	yes	-	-
HSALNG0109011	-	16. Tetrapoda	MC	-	-	yes	-	-
HSALNG0109362	-	12. Eutheria	MC	-	yes	yes	yes	-
HSALNG0011626	-	15. Amniota	MC	-	-	yes	-	-
HSALNG0012036	-	12. Eutheria	NE	-	-	yes	-	-
HSALNG0012361	-	6. Catarrhini	MC	-	-	yes	-	-
HSALNG0110852	-	13. Theria	NE	-	-	yes	-	-
HSALNG0013001	-	16. Tetrapoda	MC	yes	-	yes	-	-
HSALNG0013335	-	17. Euteleostomi	MC	-	-	yes	-	-
HSALNG0111607	-	12. Eutheria	HC	-	-	yes	-	-
HSALNG0013716	-	4. Hominidae	MC	-	-	yes	-	-
HSALNG0014438	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0113149	-	11. Boreoeutheria	MC	-	-	yes	-	-
HSALNG0015133	-	14. Mammalia	MC	-	yes	yes	-	-
HSALNG0015540	-	12. Eutheria	HC	yes	-	yes	-	-
HSALNG0015897	-	7. Simiiformes	MC	-	-	yes	-	-
HSALNG0016309	-	11. Boreoeutheria	HC	yes	yes	yes	-	-
HSALNG0114603	-	15. Amniota	MC	-	-	yes	-	-
HSALNG0017169	-	7. Simiiformes	MC	-	yes	yes	-	-
HSALNG0017532	-	16. Tetrapoda	LC	-	-	yes	-	yes
HSALNG0115723	-	12. Eutheria	MC	yes	-	yes	-	yes
HSALNG0145303	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0019074	-	16. Tetrapoda	MC	yes	-	yes	-	yes
HSALNG0117143	-	12. Eutheria	HC	yes	-	yes	-	-
HSALNG0019460	-	13. Theria	HC	yes	-	yes	yes	-
HSALNG0117568	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0019811	-	16. Tetrapoda	HC	-	-	yes	-	-
HSALNG0118330	-	15. Amniota	LC	-	-	yes	-	yes
HSALNG0020598	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0118701	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0020966	-	12. Eutheria	MC	yes	-	yes	-	-
HSALNG0119063	-	11. Boreoeutheria	MC	yes	-	yes	-	-
HSALNG0021392	-	17. Euteleostomi	MC	-	-	yes	-	-
HSALNG0145184	-	13. Theria	HC	-	-	yes	-	-
HSALNG0021771	-	11. Boreoeutheria	MC	-	-	yes	-	-
HSALNG0022147	-	5. Hominoidea	HC	-	-	yes	-	-
HSALNG0120072	-	10. Euarchontoglires	HC	-	-	yes	-	-
HSALNG0023393	-	9. Primates	MC	-	-	yes	-	-
HSALNG0024859	-	15. Amniota	MC	-	-	yes	-	yes
HSALNG0122656	-	1. Homo	LC	-	-	yes	-	-
HSALNG0025247	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0123007	-	1. Homo	MC	-	-	yes	-	-
HSALNG0025659	-	12. Eutheria	NE	-	-	yes	-	-
HSALNG0123365	-	10. Euarchontoglires	HC	-	-	yes	-	-
HSALNG0123717	-	12. Eutheria	HC	-	-	yes	yes	-
HSALNG0124137	-	16. Tetrapoda	NE	-	-	yes	yes	-
HSALNG0026789	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0027174	-	13. Theria	NE	-	yes	yes	-	yes
HSALNG0124848	-	8. Haplorrhini	NE	-	yes	yes	-	-
HSALNG0147883	-	12. Eutheria	LC	-	-	yes	-	-
HSALNG0125605	-	2. Hominini	HC	-	-	yes	-	-
HSALNG0028349	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0125995	-	12. Eutheria	HC	-	-	yes	-	-
HSALNG0028764	-	13. Theria	MC	-	-	yes	-	-
HSALNG0126369	-	12. Eutheria	HC	yes	-	yes	-	-
HSALNG0029151	-	12. Eutheria	MC	-	yes	yes	-	-
HSALNG0126779	-	11. Boreoeutheria	MC	-	-	yes	-	-
HSALNG0029537	-	13. Theria	MC	-	-	yes	-	-
HSALNG0127165	-	13. Theria	NE	-	-	yes	-	-
HSALNG0029939	-	14. Mammalia	LC	-	-	yes	-	-
HSALNG0145978	-	1. Homo	NE	-	yes	yes	yes	-
HSALNG0030382	-	11. Boreoeutheria	NE	-	-	yes	-	-
HSALNG0031175	-	15. Amniota	MC	-	-	yes	-	-
HSALNG0031933	-	2. Hominini	MC	-	-	yes	-	-
HSALNG0129410	-	1. Homo	NE	-	yes	yes	-	-
HSALNG0129748	-	11. Boreoeutheria	HC	-	-	yes	-	-
HSALNG0130145	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0130881	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0033777	-	12. Eutheria	LC	-	-	yes	-	-
HSALNG0034179	-	12. Eutheria	LC	-	-	yes	-	-
HSALNG0035014	-	10. Euarchontoglires	MC	-	-	yes	-	-
HSALNG0132232	-	11. Boreoeutheria	MC	-	yes	yes	-	-
HSALNG0035424	-	11. Boreoeutheria	NE	-	-	yes	-	-
HSALNG0035781	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0036562	-	12. Eutheria	MC	-	yes	yes	-	-
HSALNG0036962	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0134375	-	10. Euarchontoglires	MC	-	-	yes	-	-
HSALNG0135078	-	14. Mammalia	HC	-	-	yes	-	-
HSALNG0038935	-	13. Theria	MC	-	-	yes	-	-
HSALNG0147307	-	1. Homo	MC	yes	-	yes	-	yes
HSALNG0039293	-	11. Boreoeutheria	LC	-	-	yes	-	-
HSALNG0039650	-	13. Theria	MC	yes	yes	yes	-	-
HSALNG0040928	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0151264	-	12. Eutheria	MC	-	yes	yes	-	-
HSALNG0043751	-	1. Homo	LC	-	yes	yes	-	-
HSALNG0044208	-	12. Eutheria	MC	-	yes	yes	-	-
HSALNG0044596	-	16. Tetrapoda	HC	yes	yes	yes	-	-
HSALNG0045344	-	11. Boreoeutheria	HC	yes	-	yes	-	-
HSALNG0148737	-	10. Euarchontoglires	HC	yes	-	yes	-	-
HSALNG0046117	-	13. Theria	MC	-	-	yes	-	-
HSALNG0046491	-	12. Eutheria	HC	-	-	yes	-	-
HSALNG0047167	-	12. Eutheria	HC	-	-	yes	-	-
HSALNG0047460	-	15. Amniota	HC	-	-	yes	-	-
HSALNG0149113	-	11. Boreoeutheria	MC	-	yes	yes	-	-
HSALNG0050632	-	1. Homo	MC	-	-	yes	-	-
HSALNG0051077	-	13. Theria	LC	-	yes	yes	-	-
HSALNG0052769	-	12. Eutheria	LC	-	-	yes	-	-
HSALNG0053154	-	13. Theria	MC	-	-	yes	yes	-
HSALNG0053938	-	12. Eutheria	LC	-	-	yes	-	-
HSALNG0054295	-	11. Boreoeutheria	HC	-	-	yes	-	-
HSALNG0055040	-	17. Euteleostomi	MC	-	-	yes	yes	-
HSALNG0055699	-	11. Boreoeutheria	MC	-	-	yes	-	-
HSALNG0056090	-	15. Amniota	MC	yes	yes	yes	yes	yes
HSALNG0056875	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0057982	-	15. Amniota	NE	-	-	yes	-	-
HSALNG0058385	-	4. Hominidae	MC	yes	-	yes	-	yes
HSALNG0149723	-	12. Eutheria	HC	-	-	yes	-	-
HSALNG0061155	-	14. Mammalia	MC	-	-	yes	-	-
HSALNG0062308	-	5. Hominoidea	HC	-	-	yes	-	-
HSALNG0150346	-	12. Eutheria	MC	yes	-	yes	-	-
HSALNG0066627	-	13. Theria	MC	-	-	yes	-	-
HSALNG0067061	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0067840	-	14. Mammalia	MC	-	-	yes	-	-
HSALNG0150514	-	11. Boreoeutheria	MC	-	-	yes	-	-
HSALNG0070980	-	12. Eutheria	MC	yes	-	yes	-	yes
HSALNG0072083	-	12. Eutheria	MC	yes	yes	yes	-	-
HSALNG0072441	-	15. Amniota	MC	-	-	yes	-	-
HSALNG0072843	-	6. Catarrhini	HC	-	-	yes	-	-
HSALNG0073173	-	11. Boreoeutheria	LC	-	-	yes	-	-
HSALNG0073915	-	12. Eutheria	HC	yes	-	yes	-	-
HSALNG0074634	-	15. Amniota	MC	yes	-	yes	-	yes
HSALNG0075334	-	14. Mammalia	HC	yes	-	yes	-	-
HSALNG0075970	-	12. Eutheria	MC	-	yes	yes	-	-
HSALNG0077081	-	15. Amniota	MC	-	-	yes	-	-
HSALNG0142786	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0078611	-	13. Theria	HC	yes	-	yes	-	-
HSALNG0078987	-	17. Euteleostomi	HC	-	-	yes	-	-
HSALNG0079342	-	13. Theria	MC	-	-	yes	-	-
HSALNG0079730	-	11. Boreoeutheria	HC	-	-	yes	-	-
HSALNG0080127	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0080472	-	12. Eutheria	MC	-	yes	yes	-	-
HSALNG0080838	-	15. Amniota	HC	yes	-	yes	-	-
HSALNG0081520	-	16. Tetrapoda	HC	-	-	yes	-	-
HSALNG0081863	-	2. Hominini	HC	-	-	yes	-	-
HSALNG0082253	-	15. Amniota	NE	-	-	yes	-	yes
HSALNG0083021	-	13. Theria	HC	-	-	yes	-	-
HSALNG0084154	-	1. Homo	HC	-	-	yes	-	-
HSALNG0084586	-	7. Simiiformes	MC	-	-	yes	-	-
HSALNG0084961	-	11. Boreoeutheria	HC	-	yes	yes	-	-
HSALNG0085721	-	15. Amniota	MC	-	-	yes	-	-
HSALNG0086114	-	12. Eutheria	NE	-	-	yes	-	-
HSALNG0087022	-	13. Theria	MC	-	yes	yes	-	-
HSALNG0143079	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0087829	-	13. Theria	MC	-	-	yes	-	-
HSALNG0088247	-	13. Theria	LC	-	-	yes	-	-
HSALNG0089741	-	12. Eutheria	LC	-	yes	yes	-	-
HSALNG0090543	-	16. Tetrapoda	MC	yes	-	yes	-	yes
HSALNG0090980	-	11. Boreoeutheria	HC	-	yes	yes	-	-
HSALNG0091368	-	13. Theria	MC	yes	-	yes	-	-
HSALNG0091806	-	13. Theria	MC	yes	yes	yes	-	-
HSALNG0093411	-	12. Eutheria	MC	-	yes	yes	-	-
HSALNG0094521	-	6. Catarrhini	MC	-	-	yes	-	-
HSALNG0094869	-	11. Boreoeutheria	MC	-	-	yes	-	-
HSALNG0143942	-	10. Euarchontoglires	MC	-	-	yes	-	-
