id	MMU	HSAlifted	HSAlifted_cov	HSA	MMUlifted	MMUlifted_cov
ENSMUSG00000087341.6_ENSG00000235831.9	ENSMUSG00000087341.6	ENSG00000235831.9	0.180	ENSG00000235831.9	ENSMUSG00000087341.6	0.179
ENSMUSG00000087373.9_ENSG00000264112.2	ENSMUSG00000087373.9	ENSG00000264112.2	0.296	ENSG00000264112.2	ENSMUSG00000087373.9	0.594
ENSMUSG00000087377.4_ENSG00000302261.1	ENSMUSG00000087377.4	ENSG00000302261.1	0.221	ENSG00000302261.1	ENSMUSG00000087377.4	0.101
ENSMUSG00000087405.3_ENSG00000301261.1	ENSMUSG00000087405.3	ENSG00000301261.1	0.072	ENSG00000301261.1	ENSMUSG00000087405.3	0.492
ENSMUSG00000087413.4_ENSG00000225472.3	ENSMUSG00000087413.4	ENSG00000225472.3	0.113	ENSG00000225472.3	ENSMUSG00000087413.4	0.159
ENSMUSG00000087458.3_ENSG00000250379.1	ENSMUSG00000087458.3	ENSG00000250379.1	0.530	ENSG00000250379.1	ENSMUSG00000087458.3	0.593
ENSMUSG00000087461.4_ENSG00000232413.1	ENSMUSG00000087461.4	ENSG00000232413.1	0.686	ENSG00000232413.1	ENSMUSG00000087461.4	0.285
ENSMUSG00000087516.10_ENSG00000257817.3	ENSMUSG00000087516.10	ENSG00000257817.3	0.296	ENSG00000257817.3	ENSMUSG00000087516.10	0.293
ENSMUSG00000087535.4_ENSG00000224596.10	ENSMUSG00000087535.4	ENSG00000224596.10	0.125	ENSG00000224596.10	ENSMUSG00000087535.4	0.219
ENSMUSG00000087539.3_ENSG00000236668.4	ENSMUSG00000087539.3	ENSG00000236668.4	0.837	ENSG00000236668.4	ENSMUSG00000087539.3	0.308
ENSMUSG00000087540.2_ENSG00000226197.5	ENSMUSG00000087540.2	ENSG00000226197.5	0.068	ENSG00000226197.5	ENSMUSG00000087540.2	0.542
ENSMUSG00000087565.3_ENSG00000303910.1	ENSMUSG00000087565.3	ENSG00000303910.1	0.573	ENSG00000303910.1	ENSMUSG00000087565.3	0.480
ENSMUSG00000087574.4_ENSG00000286732.2	ENSMUSG00000087574.4	ENSG00000286732.2	0.567	ENSG00000286732.2	ENSMUSG00000087574.4	0.323
ENSMUSG00000087589.5_ENSG00000295453.1	ENSMUSG00000087589.5	ENSG00000295453.1	0.351	ENSG00000295453.1	ENSMUSG00000087589.5	0.608
ENSMUSG00000087618.3_ENSG00000225127.6	ENSMUSG00000087618.3	ENSG00000225127.6	0.226	ENSG00000225127.6	ENSMUSG00000087618.3	0.345
ENSMUSG00000087624.3_ENSG00000203999.11	ENSMUSG00000087624.3	ENSG00000203999.11	0.075	ENSG00000203999.11	ENSMUSG00000087624.3	0.190
ENSMUSG00000087641.3_ENSG00000299346.1	ENSMUSG00000087641.3	ENSG00000299346.1	0.771	ENSG00000299346.1	ENSMUSG00000087641.3	0.461
ENSMUSG00000087657.9_ENSG00000271434.3	ENSMUSG00000087657.9	ENSG00000271434.3	0.678	ENSG00000271434.3	ENSMUSG00000087657.9	0.465
ENSMUSG00000087658.4_ENSG00000233429.9	ENSMUSG00000087658.4	ENSG00000233429.9	0.943	ENSG00000233429.9	ENSMUSG00000087658.4	0.945
ENSMUSG00000089685.9_ENSG00000286447.2	ENSMUSG00000089685.9	ENSG00000286447.2	0.178	ENSG00000286447.2	ENSMUSG00000089685.9	0.075
ENSMUSG00000089726.4_ENSG00000215417.15	ENSMUSG00000089726.4	ENSG00000215417.15	0.302	ENSG00000215417.15	ENSMUSG00000089726.4	0.228
ENSMUSG00000089737.2_ENSG00000271474.2	ENSMUSG00000089737.2	ENSG00000271474.2	0.354	ENSG00000271474.2	ENSMUSG00000089737.2	0.220
ENSMUSG00000089766.4_ENSG00000260233.5	ENSMUSG00000089766.4	ENSG00000260233.5	0.148	ENSG00000260233.5	ENSMUSG00000089766.4	0.479
ENSMUSG00000089810.2_ENSG00000278768.5	ENSMUSG00000089810.2	ENSG00000278768.5	0.660	ENSG00000278768.5	ENSMUSG00000089810.2	0.273
ENSMUSG00000089812.5_ENSG00000203706.10	ENSMUSG00000089812.5	ENSG00000203706.10	0.755	ENSG00000203706.10	ENSMUSG00000089812.5	0.667
ENSMUSG00000089887.4_ENSG00000283096.1	ENSMUSG00000089887.4	ENSG00000283096.1	0.927	ENSG00000283096.1	ENSMUSG00000089887.4	0.068
ENSMUSG00000089957.4_ENSG00000298974.1	ENSMUSG00000089957.4	ENSG00000298974.1	0.972	ENSG00000298974.1	ENSMUSG00000089957.4	0.702
ENSMUSG00000090086.10_ENSG00000212694.8	ENSMUSG00000090086.10	ENSG00000212694.8	0.472	ENSG00000212694.8	ENSMUSG00000090086.10	0.255
ENSMUSG00000090207.4_ENSG00000288988.2	ENSMUSG00000090207.4	ENSG00000288988.2	0.435	ENSG00000288988.2	ENSMUSG00000090207.4	0.477
ENSMUSG00000090534.3_ENSG00000227640.5	ENSMUSG00000090534.3	ENSG00000227640.5	0.535	ENSG00000227640.5	ENSMUSG00000090534.3	0.695
ENSMUSG00000090576.4_ENSG00000306006.1	ENSMUSG00000090576.4	ENSG00000306006.1	0.859	ENSG00000306006.1	ENSMUSG00000090576.4	0.418
ENSMUSG00000090608.2_ENSG00000288720.2	ENSMUSG00000090608.2	ENSG00000288720.2	0.114	ENSG00000288720.2	ENSMUSG00000090608.2	0.104
ENSMUSG00000090622.2_ENSG00000289989.2	ENSMUSG00000090622.2	ENSG00000289989.2	0.449	ENSG00000289989.2	ENSMUSG00000090622.2	0.100
ENSMUSG00000090952.5_ENSG00000269386.7	ENSMUSG00000090952.5	ENSG00000269386.7	0.154	ENSG00000269386.7	ENSMUSG00000090952.5	0.339
ENSMUSG00000091378.3_ENSG00000177640.17	ENSMUSG00000091378.3	ENSG00000177640.17	0.392	ENSG00000177640.17	ENSMUSG00000091378.3	0.280
ENSMUSG00000091425.2_ENSG00000307431.1	ENSMUSG00000091425.2	ENSG00000307431.1	0.573	ENSG00000307431.1	ENSMUSG00000091425.2	0.970
ENSMUSG00000091514.5_ENSG00000285632.2	ENSMUSG00000091514.5	ENSG00000285632.2	0.359	ENSG00000285632.2	ENSMUSG00000091514.5	0.189
ENSMUSG00000092085.3_ENSG00000227741.2	ENSMUSG00000092085.3	ENSG00000227741.2	0.515	ENSG00000227741.2	ENSMUSG00000092085.3	0.730
ENSMUSG00000092090.5_ENSG00000292309.2	ENSMUSG00000092090.5	ENSG00000292309.2	0.125	ENSG00000292309.2	ENSMUSG00000092090.5	0.285
ENSMUSG00000092242.3_ENSG00000241231.3	ENSMUSG00000092242.3	ENSG00000241231.3	0.085	ENSG00000241231.3	ENSMUSG00000092242.3	0.080
ENSMUSG00000092341.7_ENSG00000251562.12	ENSMUSG00000092341.7	ENSG00000251562.12	0.640	ENSG00000251562.12	ENSMUSG00000092341.7	0.523
ENSMUSG00000092346.3_ENSG00000297403.1	ENSMUSG00000092346.3	ENSG00000297403.1	0.380	ENSG00000297403.1	ENSMUSG00000092346.3	0.398
ENSMUSG00000092371.3_ENSG00000233175.3	ENSMUSG00000092371.3	ENSG00000233175.3	0.526	ENSG00000233175.3	ENSMUSG00000092371.3	0.321
ENSMUSG00000092375.3_ENSG00000234688.4	ENSMUSG00000092375.3	ENSG00000234688.4	0.184	ENSG00000234688.4	ENSMUSG00000092375.3	0.118
ENSMUSG00000092539.5_ENSG00000309012.1	ENSMUSG00000092539.5	ENSG00000309012.1	0.115	ENSG00000309012.1	ENSMUSG00000092539.5	0.091
ENSMUSG00000092569.5_ENSG00000298289.1	ENSMUSG00000092569.5	ENSG00000298289.1	0.441	ENSG00000298289.1	ENSMUSG00000092569.5	0.206
ENSMUSG00000092627.5_ENSG00000233611.5	ENSMUSG00000092627.5	ENSG00000233611.5	0.772	ENSG00000233611.5	ENSMUSG00000092627.5	0.927
ENSMUSG00000093436.8_ENSG00000269707.3	ENSMUSG00000093436.8	ENSG00000269707.3	0.238	ENSG00000269707.3	ENSMUSG00000093436.8	0.500
ENSMUSG00000093460.12_ENSG00000259439.4	ENSMUSG00000093460.12	ENSG00000259439.4	0.601	ENSG00000259439.4	ENSMUSG00000093460.12	0.642
ENSMUSG00000093482.11_ENSG00000300102.1	ENSMUSG00000093482.11	ENSG00000300102.1	0.388	ENSG00000300102.1	ENSMUSG00000093482.11	0.201
ENSMUSG00000093483.4_ENSG00000267321.4	ENSMUSG00000093483.4	ENSG00000267321.4	0.091	ENSG00000267321.4	ENSMUSG00000093483.4	0.181
ENSMUSG00000093744.3_ENSG00000303292.1	ENSMUSG00000093744.3	ENSG00000303292.1	0.147	ENSG00000303292.1	ENSMUSG00000093744.3	0.194
ENSMUSG00000096929.10_ENSG00000203709.15	ENSMUSG00000096929.10	ENSG00000203709.15	0.374	ENSG00000203709.15	ENSMUSG00000096929.10	0.235
ENSMUSG00000096938.9_ENSG00000275741.2	ENSMUSG00000096938.9	ENSG00000275741.2	0.109	ENSG00000275741.2	ENSMUSG00000096938.9	0.065
ENSMUSG00000096963.2_ENSG00000236822.1	ENSMUSG00000096963.2	ENSG00000236822.1	0.639	ENSG00000236822.1	ENSMUSG00000096963.2	0.103
ENSMUSG00000096971.5_ENSG00000271874.2	ENSMUSG00000096971.5	ENSG00000271874.2	0.190	ENSG00000271874.2	ENSMUSG00000096971.5	0.098
ENSMUSG00000097000.5_ENSG00000279529.3	ENSMUSG00000097000.5	ENSG00000279529.3	0.091	ENSG00000279529.3	ENSMUSG00000097000.5	0.091
ENSMUSG00000097023.11_ENSG00000255571.10	ENSMUSG00000097023.11	ENSG00000255571.10	0.472	ENSG00000255571.10	ENSMUSG00000097023.11	0.620
ENSMUSG00000097032.5_ENSG00000246560.4	ENSMUSG00000097032.5	ENSG00000246560.4	0.207	ENSG00000246560.4	ENSMUSG00000097032.5	0.203
ENSMUSG00000097039.11_ENSG00000249859.15	ENSMUSG00000097039.11	ENSG00000249859.15	0.115	ENSG00000249859.15	ENSMUSG00000097039.11	0.120
ENSMUSG00000097040.9_ENSG00000250241.8	ENSMUSG00000097040.9	ENSG00000250241.8	0.188	ENSG00000250241.8	ENSMUSG00000097040.9	0.147
ENSMUSG00000097069.3_ENSG00000287100.4	ENSMUSG00000097069.3	ENSG00000287100.4	0.175	ENSG00000287100.4	ENSMUSG00000097069.3	0.063
ENSMUSG00000097080.11_ENSG00000299151.1	ENSMUSG00000097080.11	ENSG00000299151.1	0.386	ENSG00000299151.1	ENSMUSG00000097080.11	0.188
ENSMUSG00000097156.10_ENSG00000125462.21	ENSMUSG00000097156.10	ENSG00000125462.21	0.252	ENSG00000125462.21	ENSMUSG00000097156.10	0.185
ENSMUSG00000097157.4_ENSG00000258766.2	ENSMUSG00000097157.4	ENSG00000258766.2	0.232	ENSG00000258766.2	ENSMUSG00000097157.4	0.079
ENSMUSG00000097162.5_ENSG00000309910.1	ENSMUSG00000097162.5	ENSG00000309910.1	0.494	ENSG00000309910.1	ENSMUSG00000097162.5	0.211
ENSMUSG00000097166.4_ENSG00000255920.5	ENSMUSG00000097166.4	ENSG00000255920.5	0.142	ENSG00000255920.5	ENSMUSG00000097166.4	0.322
ENSMUSG00000097182.5_ENSG00000287938.2	ENSMUSG00000097182.5	ENSG00000287938.2	0.246	ENSG00000287938.2	ENSMUSG00000097182.5	0.888
ENSMUSG00000097187.3_ENSG00000254602.3	ENSMUSG00000097187.3	ENSG00000254602.3	0.280	ENSG00000254602.3	ENSMUSG00000097187.3	0.940
ENSMUSG00000097216.5_ENSG00000286596.2	ENSMUSG00000097216.5	ENSG00000286596.2	0.943	ENSG00000286596.2	ENSMUSG00000097216.5	0.671
ENSMUSG00000097222.5_ENSG00000266010.5	ENSMUSG00000097222.5	ENSG00000266010.5	0.589	ENSG00000266010.5	ENSMUSG00000097222.5	0.590
ENSMUSG00000097265.4_ENSG00000245864.6	ENSMUSG00000097265.4	ENSG00000245864.6	0.481	ENSG00000245864.6	ENSMUSG00000097265.4	0.533
ENSMUSG00000097280.3_ENSG00000299261.1	ENSMUSG00000097280.3	ENSG00000299261.1	0.400	ENSG00000299261.1	ENSMUSG00000097280.3	0.221
ENSMUSG00000097282.2_ENSG00000177337.10	ENSMUSG00000097282.2	ENSG00000177337.10	0.107	ENSG00000177337.10	ENSMUSG00000097282.2	0.153
ENSMUSG00000097324.11_ENSG00000249669.13	ENSMUSG00000097324.11	ENSG00000249669.13	0.127	ENSG00000249669.13	ENSMUSG00000097324.11	0.077
ENSMUSG00000097357.5_ENSG00000293372.2	ENSMUSG00000097357.5	ENSG00000293372.2	0.159	ENSG00000293372.2	ENSMUSG00000097357.5	0.110
ENSMUSG00000097372.3_ENSG00000257449.2	ENSMUSG00000097372.3	ENSG00000257449.2	0.137	ENSG00000257449.2	ENSMUSG00000097372.3	0.224
ENSMUSG00000097375.5_ENSG00000269929.7	ENSMUSG00000097375.5	ENSG00000269929.7	0.469	ENSG00000269929.7	ENSMUSG00000097375.5	0.323
ENSMUSG00000097391.10_ENSG00000223403.8	ENSMUSG00000097391.10	ENSG00000223403.8	0.171	ENSG00000223403.8	ENSMUSG00000097391.10	0.156
ENSMUSG00000097405.4_ENSG00000261691.1	ENSMUSG00000097405.4	ENSG00000261691.1	0.720	ENSG00000261691.1	ENSMUSG00000097405.4	0.241
ENSMUSG00000097414.4_ENSG00000257913.5	ENSMUSG00000097414.4	ENSG00000257913.5	0.505	ENSG00000257913.5	ENSMUSG00000097414.4	0.331
ENSMUSG00000097441.3_ENSG00000259676.2	ENSMUSG00000097441.3	ENSG00000259676.2	0.211	ENSG00000259676.2	ENSMUSG00000097441.3	0.224
ENSMUSG00000097452.4_ENSG00000249937.10	ENSMUSG00000097452.4	ENSG00000249937.10	0.089	ENSG00000249937.10	ENSMUSG00000097452.4	0.091
ENSMUSG00000097497.4_ENSG00000270069.5	ENSMUSG00000097497.4	ENSG00000270069.5	0.314	ENSG00000270069.5	ENSMUSG00000097497.4	0.312
ENSMUSG00000097516.9_ENSG00000250334.9	ENSMUSG00000097516.9	ENSG00000250334.9	0.204	ENSG00000250334.9	ENSMUSG00000097516.9	0.066
ENSMUSG00000097520.5_ENSG00000246379.10	ENSMUSG00000097520.5	ENSG00000246379.10	0.251	ENSG00000246379.10	ENSMUSG00000097520.5	0.145
ENSMUSG00000097536.4_ENSG00000273015.3	ENSMUSG00000097536.4	ENSG00000273015.3	0.070	ENSG00000273015.3	ENSMUSG00000097536.4	0.121
ENSMUSG00000097545.10_ENSG00000253230.12	ENSMUSG00000097545.10	ENSG00000253230.12	0.691	ENSG00000253230.12	ENSMUSG00000097545.10	0.843
ENSMUSG00000097573.5_ENSG00000287133.2	ENSMUSG00000097573.5	ENSG00000287133.2	0.070	ENSG00000287133.2	ENSMUSG00000097573.5	0.093
ENSMUSG00000097575.4_ENSG00000303604.1	ENSMUSG00000097575.4	ENSG00000303604.1	0.220	ENSG00000303604.1	ENSMUSG00000097575.4	0.513
ENSMUSG00000097585.5_ENSG00000288809.2	ENSMUSG00000097585.5	ENSG00000288809.2	0.935	ENSG00000288809.2	ENSMUSG00000097585.5	0.104
ENSMUSG00000097589.12_ENSG00000231607.16	ENSMUSG00000097589.12	ENSG00000231607.16	0.172	ENSG00000231607.16	ENSMUSG00000097589.12	0.259
ENSMUSG00000097591.2_ENSG00000301426.1	ENSMUSG00000097591.2	ENSG00000301426.1	0.985	ENSG00000301426.1	ENSMUSG00000097591.2	0.082
ENSMUSG00000097621.3_ENSG00000214145.9	ENSMUSG00000097621.3	ENSG00000214145.9	0.069	ENSG00000214145.9	ENSMUSG00000097621.3	0.204
ENSMUSG00000097623.10_ENSG00000289162.3	ENSMUSG00000097623.10	ENSG00000289162.3	0.792	ENSG00000289162.3	ENSMUSG00000097623.10	0.423
ENSMUSG00000097683.5_ENSG00000298794.1	ENSMUSG00000097683.5	ENSG00000298794.1	0.797	ENSG00000298794.1	ENSMUSG00000097683.5	0.456
ENSMUSG00000097726.9_ENSG00000296779.1	ENSMUSG00000097726.9	ENSG00000296779.1	0.212	ENSG00000296779.1	ENSMUSG00000097726.9	0.129
ENSMUSG00000097742.3_ENSG00000288916.2	ENSMUSG00000097742.3	ENSG00000288916.2	0.760	ENSG00000288916.2	ENSMUSG00000097742.3	0.213
ENSMUSG00000097752.3_ENSG00000229950.2	ENSMUSG00000097752.3	ENSG00000229950.2	0.266	ENSG00000229950.2	ENSMUSG00000097752.3	0.895
ENSMUSG00000097801.3_ENSG00000258520.1	ENSMUSG00000097801.3	ENSG00000258520.1	0.479	ENSG00000258520.1	ENSMUSG00000097801.3	0.221
ENSMUSG00000097842.4_ENSG00000245598.8	ENSMUSG00000097842.4	ENSG00000245598.8	0.330	ENSG00000245598.8	ENSMUSG00000097842.4	0.374
ENSMUSG00000097911.4_ENSG00000245384.3	ENSMUSG00000097911.4	ENSG00000245384.3	0.068	ENSG00000245384.3	ENSMUSG00000097911.4	0.103
ENSMUSG00000097923.3_ENSG00000236703.1	ENSMUSG00000097923.3	ENSG00000236703.1	0.873	ENSG00000236703.1	ENSMUSG00000097923.3	0.339
ENSMUSG00000097974.4_ENSG00000308808.1	ENSMUSG00000097974.4	ENSG00000308808.1	0.553	ENSG00000308808.1	ENSMUSG00000097974.4	0.456
ENSMUSG00000097983.2_ENSG00000260417.1	ENSMUSG00000097983.2	ENSG00000260417.1	0.111	ENSG00000260417.1	ENSMUSG00000097983.2	0.359
ENSMUSG00000097986.4_ENSG00000206028.2	ENSMUSG00000097986.4	ENSG00000206028.2	0.228	ENSG00000206028.2	ENSMUSG00000097986.4	0.180
ENSMUSG00000098024.4_ENSG00000244879.11	ENSMUSG00000098024.4	ENSG00000244879.11	0.098	ENSG00000244879.11	ENSMUSG00000098024.4	0.106
ENSMUSG00000098087.4_ENSG00000247828.11	ENSMUSG00000098087.4	ENSG00000247828.11	0.129	ENSG00000247828.11	ENSMUSG00000098087.4	0.913
ENSMUSG00000098097.10_ENSG00000228971.5	ENSMUSG00000098097.10	ENSG00000228971.5	0.193	ENSG00000228971.5	ENSMUSG00000098097.10	0.241
ENSMUSG00000098120.3_ENSG00000259804.2	ENSMUSG00000098120.3	ENSG00000259804.2	0.158	ENSG00000259804.2	ENSMUSG00000098120.3	0.574
ENSMUSG00000098129.3_ENSG00000310159.1	ENSMUSG00000098129.3	ENSG00000310159.1	0.261	ENSG00000310159.1	ENSMUSG00000098129.3	0.204
ENSMUSG00000098172.9_ENSG00000253563.3	ENSMUSG00000098172.9	ENSG00000253563.3	0.091	ENSG00000253563.3	ENSMUSG00000098172.9	0.481
ENSMUSG00000098206.3_ENSG00000229989.7	ENSMUSG00000098206.3	ENSG00000229989.7	0.283	ENSG00000229989.7	ENSMUSG00000098206.3	0.217
ENSMUSG00000098230.9_ENSG00000231933.8	ENSMUSG00000098230.9	ENSG00000231933.8	0.084	ENSG00000231933.8	ENSMUSG00000098230.9	0.120
ENSMUSG00000098649.5_ENSG00000257935.5	ENSMUSG00000098649.5	ENSG00000257935.5	0.175	ENSG00000257935.5	ENSMUSG00000098649.5	0.130
ENSMUSG00000098659.10_ENSG00000270866.2	ENSMUSG00000098659.10	ENSG00000270866.2	0.961	ENSG00000270866.2	ENSMUSG00000098659.10	0.478
ENSMUSG00000098682.11_ENSG00000248550.5	ENSMUSG00000098682.11	ENSG00000248550.5	0.141	ENSG00000248550.5	ENSMUSG00000098682.11	0.331
ENSMUSG00000098684.3_ENSG00000304097.1	ENSMUSG00000098684.3	ENSG00000304097.1	0.161	ENSG00000304097.1	ENSMUSG00000098684.3	0.107
ENSMUSG00000098959.3_ENSG00000293736.1	ENSMUSG00000098959.3	ENSG00000293736.1	0.131	ENSG00000293736.1	ENSMUSG00000098959.3	0.235
ENSMUSG00000099361.2_ENSG00000248079.5	ENSMUSG00000099361.2	ENSG00000248079.5	0.452	ENSG00000248079.5	ENSMUSG00000099361.2	0.948
ENSMUSG00000099421.2_ENSG00000237062.3	ENSMUSG00000099421.2	ENSG00000237062.3	0.888	ENSG00000237062.3	ENSMUSG00000099421.2	0.810
ENSMUSG00000099424.2_ENSG00000270111.5	ENSMUSG00000099424.2	ENSG00000270111.5	0.217	ENSG00000270111.5	ENSMUSG00000099424.2	1.0
ENSMUSG00000099449.2_ENSG00000232046.9	ENSMUSG00000099449.2	ENSG00000232046.9	0.552	ENSG00000232046.9	ENSMUSG00000099449.2	0.972
ENSMUSG00000099470.3_ENSG00000236914.5	ENSMUSG00000099470.3	ENSG00000236914.5	0.857	ENSG00000236914.5	ENSMUSG00000099470.3	0.499
ENSMUSG00000099502.3_ENSG00000229066.3	ENSMUSG00000099502.3	ENSG00000229066.3	0.334	ENSG00000229066.3	ENSMUSG00000099502.3	0.866
ENSMUSG00000099512.3_ENSG00000239922.3	ENSMUSG00000099512.3	ENSG00000239922.3	0.284	ENSG00000239922.3	ENSMUSG00000099512.3	0.223
ENSMUSG00000099635.2_ENSG00000236502.4	ENSMUSG00000099635.2	ENSG00000236502.4	0.899	ENSG00000236502.4	ENSMUSG00000099635.2	0.899
ENSMUSG00000099640.3_ENSG00000249519.2	ENSMUSG00000099640.3	ENSG00000249519.2	0.715	ENSG00000249519.2	ENSMUSG00000099640.3	0.509
ENSMUSG00000099678.3_ENSG00000232139.7	ENSMUSG00000099678.3	ENSG00000232139.7	0.423	ENSG00000232139.7	ENSMUSG00000099678.3	0.439
ENSMUSG00000099708.3_ENSG00000258813.3	ENSMUSG00000099708.3	ENSG00000258813.3	0.186	ENSG00000258813.3	ENSMUSG00000099708.3	0.637
ENSMUSG00000099802.2_ENSG00000259245.3	ENSMUSG00000099802.2	ENSG00000259245.3	0.217	ENSG00000259245.3	ENSMUSG00000099802.2	0.745
ENSMUSG00000099890.3_ENSG00000226620.9	ENSMUSG00000099890.3	ENSG00000226620.9	0.121	ENSG00000226620.9	ENSMUSG00000099890.3	0.262
ENSMUSG00000099906.3_ENSG00000302165.1	ENSMUSG00000099906.3	ENSG00000302165.1	0.281	ENSG00000302165.1	ENSMUSG00000099906.3	0.140
ENSMUSG00000099928.3_ENSG00000250838.2	ENSMUSG00000099928.3	ENSG00000250838.2	0.925	ENSG00000250838.2	ENSMUSG00000099928.3	0.945
ENSMUSG00000100002.5_ENSG00000227544.11	ENSMUSG00000100002.5	ENSG00000227544.11	0.273	ENSG00000227544.11	ENSMUSG00000100002.5	0.067
ENSMUSG00000100005.10_ENSG00000247809.12	ENSMUSG00000100005.10	ENSG00000247809.12	0.303	ENSG00000247809.12	ENSMUSG00000100005.10	0.448
ENSMUSG00000100081.2_ENSG00000238176.2	ENSMUSG00000100081.2	ENSG00000238176.2	0.715	ENSG00000238176.2	ENSMUSG00000100081.2	0.519
ENSMUSG00000100113.2_ENSG00000257453.1	ENSMUSG00000100113.2	ENSG00000257453.1	0.950	ENSG00000257453.1	ENSMUSG00000100113.2	0.967
ENSMUSG00000100129.2_ENSG00000224609.9	ENSMUSG00000100129.2	ENSG00000224609.9	0.224	ENSG00000224609.9	ENSMUSG00000100129.2	0.346
ENSMUSG00000100130.2_ENSG00000259589.2	ENSMUSG00000100130.2	ENSG00000259589.2	0.948	ENSG00000259589.2	ENSMUSG00000100130.2	0.463
ENSMUSG00000100154.2_ENSG00000214691.10	ENSMUSG00000100154.2	ENSG00000214691.10	0.294	ENSG00000214691.10	ENSMUSG00000100154.2	0.386
ENSMUSG00000100180.2_ENSG00000234781.2	ENSMUSG00000100180.2	ENSG00000234781.2	0.388	ENSG00000234781.2	ENSMUSG00000100180.2	0.658
ENSMUSG00000100192.2_ENSG00000258842.1	ENSMUSG00000100192.2	ENSG00000258842.1	0.372	ENSG00000258842.1	ENSMUSG00000100192.2	0.388
ENSMUSG00000100220.2_ENSG00000257653.1	ENSMUSG00000100220.2	ENSG00000257653.1	0.932	ENSG00000257653.1	ENSMUSG00000100220.2	0.958
ENSMUSG00000100252.9_ENSG00000254377.9	ENSMUSG00000100252.9	ENSG00000254377.9	0.541	ENSG00000254377.9	ENSMUSG00000100252.9	0.552
ENSMUSG00000100320.2_ENSG00000250635.2	ENSMUSG00000100320.2	ENSG00000250635.2	0.254	ENSG00000250635.2	ENSMUSG00000100320.2	0.749
ENSMUSG00000100341.3_ENSG00000243620.3	ENSMUSG00000100341.3	ENSG00000243620.3	0.196	ENSG00000243620.3	ENSMUSG00000100341.3	0.535
ENSMUSG00000100393.2_ENSG00000232480.4	ENSMUSG00000100393.2	ENSG00000232480.4	0.457	ENSG00000232480.4	ENSMUSG00000100393.2	0.515
ENSMUSG00000100416.2_ENSG00000251543.2	ENSMUSG00000100416.2	ENSG00000251543.2	0.886	ENSG00000251543.2	ENSMUSG00000100416.2	0.990
ENSMUSG00000100475.3_ENSG00000248127.2	ENSMUSG00000100475.3	ENSG00000248127.2	0.085	ENSG00000248127.2	ENSMUSG00000100475.3	0.147
ENSMUSG00000100548.2_ENSG00000258317.2	ENSMUSG00000100548.2	ENSG00000258317.2	0.329	ENSG00000258317.2	ENSMUSG00000100548.2	0.727
ENSMUSG00000100552.3_ENSG00000229891.5	ENSMUSG00000100552.3	ENSG00000229891.5	0.501	ENSG00000229891.5	ENSMUSG00000100552.3	0.584
ENSMUSG00000100600.8_ENSG00000264515.8	ENSMUSG00000100600.8	ENSG00000264515.8	0.183	ENSG00000264515.8	ENSMUSG00000100600.8	0.126
ENSMUSG00000100629.2_ENSG00000275888.1	ENSMUSG00000100629.2	ENSG00000275888.1	0.952	ENSG00000275888.1	ENSMUSG00000100629.2	0.777
ENSMUSG00000100630.2_ENSG00000230725.7	ENSMUSG00000100630.2	ENSG00000230725.7	0.146	ENSG00000230725.7	ENSMUSG00000100630.2	0.503
ENSMUSG00000100664.3_ENSG00000258489.5	ENSMUSG00000100664.3	ENSG00000258489.5	0.213	ENSG00000258489.5	ENSMUSG00000100664.3	0.398
ENSMUSG00000100789.8_ENSG00000258584.3	ENSMUSG00000100789.8	ENSG00000258584.3	0.061	ENSG00000258584.3	ENSMUSG00000100789.8	0.252
ENSMUSG00000100826.8_ENSG00000224078.16	ENSMUSG00000100826.8	ENSG00000224078.16	0.150	ENSG00000224078.16	ENSMUSG00000100826.8	0.081
ENSMUSG00000100832.4_ENSG00000256637.10	ENSMUSG00000100832.4	ENSG00000256637.10	0.155	ENSG00000256637.10	ENSMUSG00000100832.4	0.257
ENSMUSG00000100836.2_ENSG00000254863.3	ENSMUSG00000100836.2	ENSG00000254863.3	0.079	ENSG00000254863.3	ENSMUSG00000100836.2	0.624
ENSMUSG00000100844.3_ENSG00000257523.4	ENSMUSG00000100844.3	ENSG00000257523.4	0.101	ENSG00000257523.4	ENSMUSG00000100844.3	0.530
ENSMUSG00000100868.2_ENSG00000253302.1	ENSMUSG00000100868.2	ENSG00000253302.1	0.152	ENSG00000253302.1	ENSMUSG00000100868.2	0.095
ENSMUSG00000100893.2_ENSG00000237271.3	ENSMUSG00000100893.2	ENSG00000237271.3	0.195	ENSG00000237271.3	ENSMUSG00000100893.2	0.853
ENSMUSG00000101014.2_ENSG00000233138.1	ENSMUSG00000101014.2	ENSG00000233138.1	0.727	ENSG00000233138.1	ENSMUSG00000101014.2	0.806
ENSMUSG00000101086.4_ENSG00000236208.4	ENSMUSG00000101086.4	ENSG00000236208.4	0.324	ENSG00000236208.4	ENSMUSG00000101086.4	0.186
ENSMUSG00000101133.3_ENSG00000296864.1	ENSMUSG00000101133.3	ENSG00000296864.1	0.282	ENSG00000296864.1	ENSMUSG00000101133.3	0.162
ENSMUSG00000101144.3_ENSG00000270362.3	ENSMUSG00000101144.3	ENSG00000270362.3	0.164	ENSG00000270362.3	ENSMUSG00000101144.3	0.435
ENSMUSG00000101225.3_ENSG00000261840.6	ENSMUSG00000101225.3	ENSG00000261840.6	0.489	ENSG00000261840.6	ENSMUSG00000101225.3	0.344
